desc	ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
none	10002	1	0	1	1	1	1	1	1	1	1	1	1	1	1
none	10005	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10007	1	1	1	1	1	1	1	1	1	2	1	0	1	1
none	1001.1	0	1	0	0	0	0	0	0	0	1	1	1	0	0
none	1001.2	2	0	2	2	2	2	2	2	2	1	1	0	2	1
none	10011	2	0	1	1	1	1	1	1	1	1	1	1	2	0
none	10014	1	1	1	1	2	1	1	1	1	1	1	1	1	1
none	10016	1	0	1	1	1	1	0	0	0	1	1	1	1	1
none	10018	1	0	1	1	1	1	2	2	1	5	4	2	6	3
none	10022.1	3	3	1	1	1	2	1	1	1	1	1	2	1	1
none	10022.1	3	3	1	1	1	2	1	1	1	1	1	2	1	1
none	10022.2	1	1	1	1	1	1	1	1	1	1	1	2	1	1
none	10032.1	1	0	0	0	0	0	0	0	0	1	1	1	1	2
none	10032.2	1	2	1	1	1	2	1	1	1	1	0	2	1	1
none	10039	1	1	1	1	1	1	1	1	1	1	2	2	1	2
none	10043	1	2	1	1	1	1	1	1	1	1	0	1	1	2
none	10048	1	1	1	1	0	2	1	1	1	1	1	3	1	1
none	10049	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10053	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10057	2	1	1	0	1	1	2	1	1	1	1	1	0	1
none	10060	0	1	0	0	0	0	0	0	0	1	0	0	0	0
none	10066	1	1	1	1	1	1	1	1	1	1	0	0	0	1
none	10068	1	1	1	1	2	1	2	1	1	1	1	1	1	1
none	10069	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	10071	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10075	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10076	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10078	1	1	1	1	6	1	1	1	1	1	1	1	1	1
none	10079	1	1	1	2	1	1	1	1	1	1	1	1	2	1
none	10084	1	0	1	1	1	1	1	1	1	1	1	1	1	1
none	10085	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10086	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10090.1	1	1	1	2	2	1	1	1	1	0	0	1	0	1
none	10090.2	0	0	0	0	0	1	1	1	1	1	2	1	2	3
none	10093	1	1	1	1	2	2	1	2	2	1	1	1	0	1
none	10095	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10100	0	0	0	2	0	0	0	1	0	0	0	0	0	7
none	10101	2	1	1	1	1	1	1	1	1	1	1	1	1	2
none	10109	1	1	1	1	2	2	2	1	2	1	1	1	0	2
none	10115.1	0	0	0	0	0	1	0	0	0	0	0	1	1	1
none	10115.2	1	0	0	0	1	1	0	1	0	0	1	1	1	1
none	10117	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10119	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10120.1	1	1	1	1	2	1	1	1	2	2	2	2	2	2
none	10120.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10121	1	1	1	1	2	1	1	1	1	1	1	1	2	1
none	10139	1	1	1	1	1	1	1	1	1	1	1	1	2	2
none	10143.1.1	1	1	1	1	1	1	1	1	1	3	3	3	3	4
none	10143.2	2	2	2	2	2	2	2	2	2	1	1	1	1	1
none	10148	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10149	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	1015	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10151	0	0	0	0	1	1	1	1	1	0	0	0	1	2
none	10152	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	10154	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10155	1	1	1	1	1	0	1	1	1	1	0	1	1	1
none	10156	0	0	0	0	0	0	2	0	0	0	1	1	0	0
none	10168	1	1	1	1	1	1	1	1	1	1	1	1	1	0
none	1017	0	0	0	0	0	0	1	0	0	0	0	1	2	1
none	10170.1.1	1	0	0	0	0	0	1	0	0	0	0	13	2	0
none	10170.1.2.1.1	0	0	0	1	1	0	0	0	1	0	1	3	0	0
none	10170.1.2.1.2.1	1	1	0	1	0	0	0	0	0	0	0	0	0	1
none	10170.1.2.1.2.2	0	1	0	0	0	0	0	0	0	0	0	0	0	1
none	10170.1.2.2	0	0	0	0	0	0	1	0	0	0	0	1	0	0
none	10170.2	1	1	0	1	1	0	0	0	0	0	0	3	1	0
none	10171	2	1	2	2	2	2	2	2	2	1	1	1	2	1
none	10173	1	1	1	1	1	1	1	2	1	1	1	1	1	2
none	10180	1	0	2	2	1	1	2	2	2	1	1	1	1	1
none	10189	1	0	1	1	1	1	1	1	1	1	1	1	1	1
none	1019	1	1	1	1	1	0	1	1	1	1	1	1	1	1
none	10192	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10200	1	1	1	1	1	1	1	1	1	1	0	1	1	2
none	10202	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10204	2	1	1	1	1	1	1	1	1	1	1	1	1	2
