ogs	treefix	type	count	edge	br	nodeclass	branch	family	musca	events
1	droVir	total	0	16	0.0850241111226979	tip	droVir	Drosophilidae	other_dipt	2
1	droAna	dup	0	14	0.0848956347205236	tip	droAna	Drosophilidae	other_dipt	2
1	droPse	loss	0	9	0.123498328154071	tip	droPse	Drosophilidae	other_dipt	2
1	X13	total	0	15	0.108349428637159	internal	15	Drosophilidae	other_dipt	2
1	droAna	total	0	14	0.0848956347205236	tip	droAna	Drosophilidae	other_dipt	2
1	X12	total	0	11	0.0613342589488681	internal	11	Drosophilidae	other_dipt	2
1	musDom	dup	2	3	0.304817858518225	tip	musDom	Muscidae	musca	2
1	X8	dup	0	5	0.267780412134559	internal	5	Diptera	other_dipt	2
1	droMoj	total	0	17	0.0850241111226979	tip	droMoj	Drosophilidae	other_dipt	2
1	droPse	total	0	9	0.123498328154071	tip	droPse	Drosophilidae	other_dipt	2
1	X7	loss	0	2	0.156336093376191	internal	2	Diptera	other_dipt	2
1	X7	total	0	2	0.156336093376191	internal	2	Diptera	other_dipt	2
1	X12	loss	0	11	0.0613342589488681	internal	11	Drosophilidae	other_dipt	2
1	droPse	dup	0	9	0.123498328154071	tip	droPse	Drosophilidae	other_dipt	2
1	X13	loss	0	15	0.108349428637159	internal	15	Drosophilidae	other_dipt	2
1	droMoj	loss	0	17	0.0850241111226979	tip	droMoj	Drosophilidae	other_dipt	2
1	musDom	loss	0	3	0.304817858518225	tip	musDom	Muscidae	musca	2
1	X6	dup	0	1	0.538846048105584	root	1	Diptera	other_dipt	2
1	X7	dup	0	2	0.156336093376191	internal	2	Diptera	other_dipt	2
1	gloMor	total	0	4	0.304817858518225	tip	gloMor	Glossinidae	other_dipt	2
1	X12	dup	0	11	0.0613342589488681	internal	11	Drosophilidae	other_dipt	2
1	droYak	total	0	12	0.0235613757716556	tip	droYak	Drosophilidae	other_dipt	2
1	gloMor	loss	0	4	0.304817858518225	tip	gloMor	Glossinidae	other_dipt	2
1	droMel	loss	0	13	0.0235613757716556	tip	droMel	Drosophilidae	other_dipt	2
1	droMel	total	0	13	0.0235613757716556	tip	droMel	Drosophilidae	other_dipt	2
1	gloMor	dup	0	4	0.304817858518225	tip	gloMor	Glossinidae	other_dipt	2
1	X13	dup	0	15	0.108349428637159	internal	15	Drosophilidae	other_dipt	2
1	droYak	loss	0	12	0.0235613757716556	tip	droYak	Drosophilidae	other_dipt	2
1	X11	dup	0	10	0.0386026934335474	internal	10	Drosophilidae	other_dipt	2
1	droMoj	dup	0	17	0.0850241111226979	tip	droMoj	Drosophilidae	other_dipt	2
1	X6	total	0	1	0.538846048105584	root	1	Diptera	other_dipt	2
1	X11	total	0	10	0.0386026934335474	internal	10	Drosophilidae	other_dipt	2
1	droVir	loss	0	16	0.0850241111226979	tip	droVir	Drosophilidae	other_dipt	2
1	X8	total	0	5	0.267780412134559	internal	5	Diptera	other_dipt	2
1	X9	total	0	6	0.0318808852234055	internal	6	Drosophilidae	other_dipt	2
1	X10	total	0	8	0.03799432638238	internal	8	Drosophilidae	other_dipt	2
1	droWil	loss	0	7	0.161492654536451	tip	droWil	Drosophilidae	other_dipt	2
1	X9	dup	0	6	0.0318808852234055	internal	6	Drosophilidae	other_dipt	2
1	X6	loss	0	1	0.538846048105584	root	1	Diptera	other_dipt	2
1	X9	loss	0	6	0.0318808852234055	internal	6	Drosophilidae	other_dipt	2
1	droWil	dup	0	7	0.161492654536451	tip	droWil	Drosophilidae	other_dipt	2
1	X8	loss	0	5	0.267780412134559	internal	5	Diptera	other_dipt	2
1	droYak	dup	0	12	0.0235613757716556	tip	droYak	Drosophilidae	other_dipt	2
1	droAna	loss	0	14	0.0848956347205236	tip	droAna	Drosophilidae	other_dipt	2
1	droVir	dup	0	16	0.0850241111226979	tip	droVir	Drosophilidae	other_dipt	2
1	X11	loss	0	10	0.0386026934335474	internal	10	Drosophilidae	other_dipt	2
1	X10	dup	0	8	0.03799432638238	internal	8	Drosophilidae	other_dipt	2
1	X10	loss	0	8	0.03799432638238	internal	8	Drosophilidae	other_dipt	2
1	droMel	dup	0	13	0.0235613757716556	tip	droMel	Drosophilidae	other_dipt	2
1	musDom	total	2	3	0.304817858518225	tip	musDom	Muscidae	musca	2
1	droWil	total	0	7	0.161492654536451	tip	droWil	Drosophilidae	other_dipt	2
10010	X9	loss	0	6	0.0318808852234055	internal	6	Drosophilidae	other_dipt	0
10010	X6	total	0	1	0.538846048105584	root	1	Diptera	other_dipt	0
10010	droMel	dup	0	13	0.0235613757716556	tip	droMel	Drosophilidae	other_dipt	0
10010	X11	total	0	10	0.0386026934335474	internal	10	Drosophilidae	other_dipt	0
10010	X12	loss	0	11	0.0613342589488681	internal	11	Drosophilidae	other_dipt	0
10010	droYak	total	0	12	0.0235613757716556	tip	droYak	Drosophilidae	other_dipt	0
10010	X7	dup	0	2	0.156336093376191	internal	2	Diptera	other_dipt	0
10010	X11	loss	0	10	0.0386026934335474	internal	10	Drosophilidae	other_dipt	0
10010	X10	total	0	8	0.03799432638238	internal	8	Drosophilidae	other_dipt	0
10010	droYak	dup	0	12	0.0235613757716556	tip	droYak	Drosophilidae	other_dipt	0
