ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
1	3	1	1	1	1	1	1	1	1	0	0	0	0	0
10	0	0	0	0	0	1	0	0	0	0	0	0	0	0
100	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1000	1	0	0	0	0	0	0	0	0	0	0	0	0	0
10000	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10001	0	0	0	0	0	0	0	0	0	0	0	0	1	0
10002	1	0	1	1	1	1	1	1	1	1	1	1	1	1
10003	0	0	0	0	0	0	0	0	0	0	0	0	1	0
10004	0	0	1	1	1	1	1	1	1	0	0	0	0	0
10005	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10006	0	1	0	0	0	0	0	0	0	0	0	0	0	0
10007	1	1	1	1	1	1	1	1	1	2	1	0	1	1
10008	0	0	0	0	0	0	0	0	0	0	0	1	0	0
10009	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1001.1	0	1	0	0	0	0	0	0	0	1	1	1	0	0
1001.2	2	0	2	2	2	2	2	2	2	1	1	0	2	1
10010	1	1	1	1	1	1	1	1	1	0	0	0	0	0
10011	2	0	1	1	1	1	1	1	1	1	1	1	2	0
10012	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10013	0	0	0	0	0	0	0	0	0	0	1	1	0	2
10014	1	1	1	1	2	1	1	1	1	1	1	1	1	1
10015	0	0	0	0	1	0	0	0	0	0	0	0	0	0
10016	1	0	1	1	1	1	0	0	0	1	1	1	1	1
10017	1	0	0	0	0	0	0	0	0	0	0	0	0	0
10018	1	0	1	1	1	1	2	2	1	5	4	2	6	3
10019	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1002	0	0	0	0	0	0	0	0	0	1	1	0	0	0
10020	0	0	0	0	0	0	0	0	0	0	1	0	0	0
10021	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10022.1	3	3	1	1	1	2	1	1	1	1	1	2	1	1
10022.2	1	1	1	1	1	1	1	1	1	1	1	2	1	1
10023	0	0	0	0	0	1	0	1	0	0	0	0	0	0
10024	0	0	0	0	0	0	0	0	0	0	1	0	0	0
10025	0	0	1	0	0	1	0	0	0	0	0	0	0	0
10026	0	0	0	0	0	0	0	0	0	0	0	0	2	1
10027	0	0	0	0	0	0	0	0	0	0	0	0	2	1
10028	0	0	0	0	0	0	0	0	0	0	0	1	0	0
10029	0	1	1	1	0	0	1	1	1	0	0	0	0	0
1003	0	0	1	1	1	1	1	1	1	0	0	0	0	0
10030	0	0	0	0	0	0	0	1	1	0	0	0	0	0
10031	0	0	1	1	1	1	2	1	1	0	0	0	0	0
10032.1	1	0	0	0	0	0	0	0	0	1	1	1	1	2
10032.2	1	2	1	1	1	2	1	1	1	1	0	2	1	1
10033	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10034	0	0	0	0	0	0	1	0	0	0	0	0	0	0
10035	0	0	1	0	0	0	0	0	0	0	0	0	0	0
10036	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10037	0	0	0	0	0	0	0	1	0	0	0	0	0	0
10038	0	0	0	0	0	0	0	0	0	0	0	1	1	0
10039	1	1	1	1	1	1	1	1	1	1	2	2	1	2
1004	0	0	1	2	0	0	0	0	0	0	0	0	0	0
10040	0	1	0	0	0	0	0	0	0	0	0	0	0	0
10041	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10042	1	0	0	0	0	0	0	0	0	0	0	0	0	0
10043	1	2	1	1	1	1	1	1	1	1	0	1	1	2
10044	0	0	0	0	0	0	0	1	0	0	0	0	0	0
10045	0	0	0	1	0	0	0	0	1	0	0	0	0	0
10046	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10047	0	0	0	0	0	0	0	0	0	1	0	0	0	0
10048	1	1	1	1	0	2	1	1	1	1	1	3	1	1
10049	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1005	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10050	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10051	0	0	0	0	0	0	0	0	0	0	0	0	1	0
10052	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10053	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10054	0	0	0	0	0	0	0	0	0	1	0	1	1	1
10055	0	0	0	0	0	0	0	0	0	1	1	1	2	1
10056	0	0	0	0	0	0	0	0	0	0	0	0	1	0
10057	2	1	1	0	1	1	2	1	1	1	1	1	0	1
10058	0	0	0	0	0	0	0	0	0	1	1	1	1	1
10059	0	0	0	0	0	0	0	0	0	0	0	0	7	4
1006	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10060	0	1	0	0	0	0	0	0	0	1	0	0	0	0
10061	0	0	0	0	0	0	0	0	0	0	0	0	1	0
10062	5	1	2	2	3	2	2	2	2	0	0	0	0	0
10063	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10064	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10065	0	0	0	0	0	0	0	0	0	0	0	0	0	1
10066	1	1	1	1	1	1	1	1	1	1	0	0	0	1
10067	0	0	0	0	0	0	0	0	0	1	0	1	1	2
10068	1	1	1	1	2	1	2	1	1	1	1	1	1	1
10069	1	1	1	1	1	1	1	1	1	1	1	1	1	2
1007	33	7	3	3	3	3	3	3	2	0	0	0	0	0
10070	0	0	1	0	0	0	0	0	0	0	0	0	0	0
10071	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10072	0	0	0	0	0	0	0	0	0	1	0	0	0	0
10073	0	0	0	0	0	0	0	0	0	0	0	0	3	1
10074	0	0	0	0	1	0	0	0	0	0	0	0	0	0
10075	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10076	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10077	0	0	1	1	1	0	0	0	0	0	0	0	0	0
10078	1	1	1	1	6	1	1	1	1	1	1	1	1	1
10079	1	1	1	2	1	1	1	1	1	1	1	1	2	1
1008	0	0	0	0	0	0	0	0	0	1	0	0	1	0
10080	0	0	0	0	0	0	0	0	0	0	0	0	1	0
10081	0	0	1	1	1	1	1	1	1	0	0	0	0	0
10082	0	0	0	1	1	0	0	0	0	0	0	0	0	0
10083	0	1	0	0	0	0	0	0	0	0	0	0	0	0
10084	1	0	1	1	1	1	1	1	1	1	1	1	1	1
10085	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10086	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10087	0	0	0	0	0	0	0	0	0	1	0	0	0	0
10088	0	0	0	0	1	0	0	0	0	0	0	0	0	0
10089	1	1	0	1	0	0	1	1	1	0	0	0	0	0
1009	0	0	1	0	1	1	1	1	1	0	0	0	0	0
10090.1	1	1	1	2	2	1	1	1	1	0	0	1	0	1
10090.2	0	0	0	0	0	1	1	1	1	1	2	1	2	3
10091	0	0	0	0	0	0	0	0	0	0	0	0	1	0
10092	0	0	0	0	0	0	0	1	0	0	0	0	0	0
10093	1	1	1	1	2	2	1	2	2	1	1	1	0	1
10094	0	0	0	0	1	0	0	0	0	0	0	0	0	0
10095	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10096	1	0	1	1	1	1	1	1	1	0	0	0	0	0
10097	0	0	0	1	0	0	0	0	0	0	0	0	0	0
10098	1	1	1	1	1	1	1	1	1	0	0	0	0	0
