ogs	type	total	musDom	gloMor	7	droMel	droYak	13	12	droAna	11	droPse	10	droWil	9	8	droMoj	droVir	6	anoGam	anoSte	4	anoDar	3	aedAeg	culQui	5	2	1
sim.403.341	dup	795	46	10	3	64	85	NP	NP	72	NP	166	NP	27	5	12	155	134	1	NP	NP	9	NP	NP	NP	NP	3	3	NP
sim.403.341	loss	55	1	1	3	9	5	NP	NP	3	NP	3	NP	9	2	4	3	5	0	NP	NP	1	NP	2	NP	NP	4	0	NP
sim.403.341	total	850	47	11	6	73	90	NP	NP	75	NP	169	NP	36	7	16	158	139	1	NP	NP	10	NP	2	NP	NP	7	3	NP
sim.70.00057	dup	1	0	0	0	1	0	0	0	0	NP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NP	0	0	0
sim.70.00057	loss	1	0	0	0	0	0	0	0	0	NP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
sim.70.00057	total	2	0	0	0	1	0	0	0	0	NP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
sim.525.009	dup	3	NP	NP	NP	NP	NP	2	1	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	0	0	NP	0	NP	NP	NP	NP	NP	NP
sim.525.009	loss	2	NP	NP	NP	NP	NP	0	0	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	1	1	NP	0	NP	NP	NP	NP	NP	NP
sim.525.009	total	5	NP	NP	NP	NP	NP	2	1	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	1	1	NP	0	NP	NP	NP	NP	NP	NP
sim.17.00057	dup	0	NP	NP	NP	NP	NP	0	0	NP	0	NP	0	NP	NP	NP	NP	NP	NP	0	0	NP	0	NP	0	0	NP	NP	NP
sim.17.00057	loss	0	NP	NP	NP	NP	NP	0	0	NP	0	NP	0	NP	NP	NP	NP	NP	NP	0	0	NP	0	NP	0	0	NP	NP	NP
sim.17.00057	total	0	NP	NP	NP	NP	NP	0	0	NP	0	NP	0	NP	NP	NP	NP	NP	NP	0	0	NP	0	NP	0	0	NP	NP	NP
sim.596.023	dup	84	NP	NP	NP	NP	NP	7	7	NP	2	NP	3	NP	NP	NP	NP	NP	NP	6	13	NP	16	NP	16	14	NP	NP	NP
sim.596.023	loss	15	NP	NP	NP	NP	NP	2	1	NP	1	NP	0	NP	NP	NP	NP	NP	NP	4	3	NP	2	NP	1	1	NP	NP	NP
sim.596.023	total	99	NP	NP	NP	NP	NP	9	8	NP	3	NP	3	NP	NP	NP	NP	NP	NP	10	16	NP	18	NP	17	15	NP	NP	NP
sim.128.114	dup	53	NP	NP	NP	NP	NP	NP	NP	NP	1	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	NP	33	19	NP	NP	NP
