desc	ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
none	10143.2	2	2	2	2	2	2	2	2	2	1	1	1	1	1
none	11677.1	1	0	1	1	1	1	1	1	1	1	1	1	2	1
none	1172	1	2	1	1	1	1	1	1	1	1	1	2	2	1
none	13522.1.1.2	10	13	8	10	10	11	9	11	12	9	11	17	10	14
none	14413.1.1	2	0	2	3	2	2	2	4	4	5	1	4	5	5
none	14413.1.2	4	0	1	1	1	1	1	1	2	1	4	1	1	2
none	14413.2	1	2	1	1	1	3	1	2	1	2	1	2	2	4
none	14717	1	1	1	1	1	1	1	1	2	2	2	4	4	6
none	14740.1	12	2	8	8	9	8	7	7	7	4	4	4	4	4
none	14740.2	2	1	1	3	1	3	2	3	2	1	2	1	2	3
none	14988	4	3	2	2	2	2	2	2	2	1	1	1	2	2
none	16083	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	17607	1	1	1	1	1	1	1	2	1	2	1	1	1	1
none	19332	7	1	3	3	4	3	5	3	3	11	8	7	23	16
none	24158	1	0	1	1	0	2	1	1	1	0	0	0	1	1
none	27189	2	2	2	2	2	2	2	2	2	2	2	1	2	2
none	33	1	0	2	2	1	1	1	1	1	1	1	1	1	1
none	4938	21	3	5	5	4	4	3	6	5	12	10	3	7	10
none	7363.1	2	1	3	4	2	3	2	2	3	6	5	4	6	10
none	7363.2	1	0	1	1	1	1	1	1	1	1	1	0	1	2
none	8179.1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
none	8323	2	0	1	1	1	1	1	1	1	0	0	0	0	1
none	8626	1	1	2	2	1	1	1	1	2	1	1	1	1	2
