desc	ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
none	10143.1.2	1	1	1	1	1	1	1	1	1	1	0	1	1	2
none	11173	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	12445	1	1	1	2	1	1	1	1	1	1	1	1	1	1
none	13380.2	2	1	2	2	1	1	1	1	1	2	1	1	1	16
none	13965.1	2	1	1	1	2	1	1	3	2	3	3	1	5	6
none	13965.2	3	1	3	3	7	2	1	1	1	0	0	0	1	5
none	14740.1	12	2	8	8	9	8	7	7	7	4	4	4	4	4
none	14821	1	1	2	2	2	2	2	2	2	1	1	1	1	1
none	15548	1	0	1	1	1	1	1	1	1	1	0	1	1	1
none	16378	1	1	1	1	1	1	1	1	1	4	2	3	3	5
none	17058	1	1	1	2	1	1	1	1	1	1	2	1	3	3
none	18446	2	1	1	1	1	1	1	1	1	1	1	1	1	4
none	21795	1	1	1	1	1	1	1	1	1	1	0	1	1	1
none	2203	1	1	1	1	1	1	1	0	1	1	1	1	1	1
none	2215	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	24346	1	1	1	1	4	4	2	1	1	3	1	2	2	1
none	25184	1	1	1	1	1	1	1	1	1	1	1	2	1	1
none	25534	2	1	1	3	1	1	2	1	1	1	1	1	1	1
none	25591	1	0	1	1	1	1	1	1	1	0	0	0	0	1
none	26076	1	0	1	1	4	1	2	2	2	2	1	2	2	1
none	26514	1	3	1	1	1	1	1	1	1	1	1	2	1	1
none	26860	3	0	1	1	1	1	1	1	1	0	0	0	0	1
none	27073	1	2	1	1	1	1	1	1	1	1	1	1	2	1
none	3306	1	1	1	1	1	1	1	1	1	2	1	1	1	1
none	3619	1	1	1	1	1	1	1	1	2	1	1	1	2	1
none	3648	1	1	2	2	2	2	2	2	2	3	2	2	2	2
