desc	ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
none	1081	4	1	1	1	1	1	1	1	1	1	1	1	2	1
none	10950.1	1	0	1	1	1	1	1	2	1	1	1	1	1	1
none	11046.1	1	1	1	2	2	2	2	2	2	1	1	1	1	3
none	11421	1	1	1	1	0	1	1	1	1	1	1	1	2	1
none	12042.1	9	8	10	12	10	12	9	12	11	7	6	6	10	20
none	12118	2	3	2	2	2	2	2	2	2	1	1	1	1	0
none	13291	3	3	2	3	3	2	2	3	2	1	1	1	1	1
none	14078	1	1	1	1	1	2	1	1	1	1	1	2	1	1
none	1448	1	1	2	2	2	2	2	2	2	8	2	1	5	1
none	14847	1	0	1	1	1	1	1	1	1	1	1	1	1	1
none	1491	2	1	2	2	2	3	2	2	2	1	1	2	1	7
none	14917	1	1	1	1	1	1	1	1	1	1	2	1	1	2
none	15034	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	1602	1	1	1	1	1	2	1	2	1	1	0	1	0	0
none	16478	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	1651	1	1	1	1	1	1	1	1	1	1	1	1	2	1
none	17200	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	17230	1	1	1	1	1	1	1	1	1	1	1	0	1	1
none	17401	1	2	2	1	1	3	2	1	1	1	0	1	1	2
none	17614	46	19	59	61	34	33	31	25	28	23	17	11	26	35
none	1822.2	1	1	1	1	1	1	1	1	1	1	0	1	1	1
none	19033	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	19633	1	0	1	1	1	1	1	1	1	1	1	1	1	1
none	1969	1	1	1	1	1	2	1	1	1	1	1	1	0	0
none	19827	6	7	2	2	3	2	2	2	1	0	0	0	1	1
none	21391	1	1	1	1	1	1	1	1	1	1	1	1	2	1
none	21513	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	22018	1	1	1	1	1	1	1	1	1	0	0	0	0	1
none	22357	1	1	1	1	1	1	2	1	1	1	1	1	1	0
none	22454	2	1	1	1	1	1	1	1	1	1	1	1	1	1
none	22750	2	1	1	1	1	1	1	1	1	1	1	1	1	1
none	23074	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	23120	1	3	1	3	1	1	1	1	1	2	1	2	2	3
none	23449	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	2353	1	1	1	1	1	2	1	1	1	1	2	1	1	1
none	23668	1	1	1	1	1	1	2	1	1	1	1	1	2	1
none	23861.2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	24464	2	1	1	1	1	1	1	1	1	1	1	1	1	1
none	24550	1	1	1	2	1	1	1	1	1	1	1	1	1	1
none	24593	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	26248	2	1	1	1	1	1	1	1	1	1	1	1	1	1
none	26692	1	2	1	1	1	1	1	1	1	1	1	1	1	1
none	26723	4	1	1	1	1	1	1	1	1	1	1	1	1	1
none	3017	1	2	1	1	1	1	1	1	1	1	1	1	1	1
none	3059	1	1	1	1	2	1	1	1	1	3	10	2	1	4
none	3080.1	1	1	1	1	1	0	1	1	1	1	1	1	2	1
none	3080.2.1	2	1	1	1	1	0	1	1	1	1	1	1	1	3
none	3080.2.2	1	2	3	3	3	4	3	2	2	0	1	1	1	1
none	3324.1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
none	3656	1	0	1	1	1	1	1	1	1	0	1	1	0	1
none	4129	1	1	1	2	1	1	1	1	1	1	1	1	1	1
none	446	1	1	1	1	1	1	1	1	1	1	0	1	2	2
none	5068	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	5227	1	2	1	1	1	2	1	1	1	1	1	2	1	1
none	5753.2.1	2	4	3	2	2	3	2	4	4	1	1	1	1	1
none	6931	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	7073	1	1	1	1	1	1	1	1	1	1	1	0	1	1
none	7724	1	2	1	1	1	1	2	2	2	1	1	1	2	1
none	775	1	0	1	1	1	1	1	1	1	1	1	1	1	1
none	7866	2	2	1	1	1	1	1	1	1	1	1	1	1	1
none	7881	2	2	2	0	0	0	1	1	0	0	0	1	0	1
none	790	1	2	1	1	1	1	1	1	1	2	1	4	1	2
none	8574	7	10	10	9	9	9	7	5	7	15	9	8	24	20
none	92	1	1	1	1	1	1	1	2	1	1	1	1	1	1
none	9401.1	7	4	4	3	4	3	4	4	5	2	2	2	2	5
none	9441	1	1	1	1	1	1	1	1	1	1	1	0	1	1
none	9753	1	1	1	1	1	1	1	1	1	1	2	1	1	0
