baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC101887197	96.9402113615057	0.0471733419007573	0.21206609442784	0.222446412416998	0.823966384851908	0.909025325688666
LOC101887198	59.2412849411692	0.333135124826981	0.293448140093592	1.1352436063174	0.256273263430525	0.469142928316674
LOC101887199	0	NA	NA	NA	NA	NA
LOC101887200	115.425249987611	-0.382284333400722	0.207955139140643	-1.83830192887023	0.0660179270452903	0.199411230548039
LOC101887201	24.2110005748401	0.5304312576035	0.328578923778781	1.61431917635903	0.10645821272215	0.271282472194485
LOC101887202	0.242596487358468	-0.0878055643096462	0.131321799598881	-0.668629005830303	0.503732164957825	NA
LOC101887203	1570.38222032062	-0.760999290756222	0.171026595755779	-4.44959620106635	8.60318878639727e-06	0.000242516916330064
LOC101887204	491.382753271616	-0.0256913437142294	0.163588207592901	-0.15704887346259	0.875206330517351	0.934999695513262
LOC101887205	44.7713353582387	0.317723441071742	0.310157969336692	1.02439231773161	0.305650009059687	0.522183389761267
LOC101887206	733.216192178339	0.398744862506585	0.16421328092211	2.42821323748911	0.0151734190965591	0.075469127886081
LOC101887207	137.526771061137	-0.099060064874389	0.194582423860764	-0.509090507297167	0.610688785319116	0.772461770828233
LOC101887208	254.626192704697	-0.10528006483867	0.23318459608515	-0.451488076854894	0.651637816488136	0.802335311766174
LOC101887209	10.5664551863941	-0.329035104760191	0.385184243252213	-0.854227841674052	0.39297875955062	NA
LOC101887210	894.102792424715	0.542842654017877	0.123274811034571	4.40351641557693	1.06510220514663e-05	0.000290811937164381
LOC101887211	26.7791975360968	0.289040737839242	0.322051968013552	0.897497194698336	0.369453669666323	0.58249165744365
LOC101887212	1.50802196129434	-0.196137079444585	0.294382154172962	-0.666266880190522	0.505240531113028	NA
LOC101887213	0	NA	NA	NA	NA	NA
LOC101887215	444.544453989113	0.364876932477215	0.144177058814219	2.53075583229494	0.011381704869363	0.0623483097623193
LOC101887216	353.09048222479	-1.05126588208107	0.276746041721557	-3.79866637131088	0.000145476761685335	0.00269028834109583
LOC101887217	0.960213819603568	-0.0353558062840411	0.244635744361884	-0.144524286000251	0.88508648031057	NA
LOC101887218	2941.8299974279	-0.120704856205886	0.165164108857758	-0.730817712399243	0.464890503164299	0.664115528521416
LOC101887219	57.9139694631041	0.266889768516318	0.255157359260344	1.0459810733658	0.295569770821465	0.511581929915014
LOC101887220	611.921045772746	-0.233194302881377	0.189243776184878	-1.23224291748207	0.217858355867258	0.425676780010397
LOC101887221	121.488864728141	-0.22010801687054	0.196320707740816	-1.12116556324322	0.262217395123254	0.475143751065938
LOC101887222	329.065420802507	0.311814408331414	0.163876076121986	1.90274514566303	0.0570738080043542	0.182377395062933
LOC101887223	0.162849294076366	0.0759467747686216	0.122282310356169	0.621077362272704	0.534548723156051	NA
LOC101887224	0.576576890337011	-0.0908388015997896	0.196428211281642	-0.462452928767668	0.643756550573225	NA
LOC101887225	766.700583736499	-0.652771316500818	0.256908853151984	-2.54086734844692	0.0110577864032219	0.0612819937224254
LOC101887226	346.807328762426	0.108413753862019	0.140304151336938	0.772705246629982	0.439696840908822	0.64377858571408
LOC101887227	292.841390191601	0.373501731020262	0.204170449431861	1.82936233945507	0.0673453454791148	0.202016667629326
LOC101887228	13.1279284533565	-0.719923854502757	0.378267377661385	-1.90321422627994	0.0570125975820855	0.182237631866734
LOC101887229	950.724313563492	0.644018144785232	0.220669313990531	2.91847621737234	0.00351746706002213	0.0282861846075797
LOC101887230	427.64528582818	-0.00885294835142671	0.161697115615319	-0.0547501933954596	0.956337480753572	0.976179284034034
LOC101887231	87.233937539299	-0.174127657629494	0.246765935915836	-0.70563895694616	0.480412691244458	0.677122212118878
LOC101887232	0	NA	NA	NA	NA	NA
LOC101887233	19.2410436628651	0.381872753656772	0.358281926197286	1.06584431347088	0.286494025358669	0.501473080705642
LOC101887234	27.0272735715627	0.417632540532895	0.332580319298425	1.25573437843191	0.209212290479047	0.41603130404127
LOC101887235	163.534646098342	0.29832467909813	0.184728170507807	1.61493874095138	0.106323961572492	0.271269175929015
LOC101887236	93.5099838719116	0.0023832657436515	0.218172409776562	0.0109237723784244	0.991284264013599	0.995049706980902
LOC101887237	40.8401563477604	-0.283149463295235	0.286576826935162	-0.988040332232785	0.323132895941842	0.540888477720014
LOC101887238	0.640161297788837	-0.134143018777632	0.159751037283207	-0.839700455527078	0.401076358527947	NA
LOC101887239	0.121298243679234	-0.0694405370026342	0.118615117561792	-0.585427375785044	0.558260385782457	NA
LOC101887240	4.48112908452186	-0.12068056367576	0.151524318979343	-0.796443531234168	NA	NA
LOC101887241	0.547367502241488	-0.0705418767697737	0.189068602497596	-0.373102016082605	0.709072518232441	NA
LOC101887242	858.830344967122	-0.0592765560200169	0.146117740804594	-0.405676652907525	0.68498019899225	0.823175881494316
LOC101887243	0.693613251123045	0.0927196458647534	0.20491207579876	0.452485025605868	0.650919606449951	NA
LOC101887244	73.8812754890339	0.0310742767720923	0.230269348889829	0.134947516557923	0.892653370347143	0.942727283588569
LOC101887245	341.491177604334	0.0754715327255692	0.158691076393857	0.475587754778696	0.634368100890806	0.790780362410793
LOC101887246	3.46151656082489	0.282502315344076	0.355004758131917	0.795770504121245	0.426165438728321	NA
LOC101887247	1.22823836715683	0.0990517609115308	0.258611816963976	0.383013282511095	0.701709915669091	NA
LOC101887248	0.409642052302372	0.0138331751355402	0.15047275915719	0.091931424751037	0.926752523831966	NA
