ogs	desc	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
10002	none	1	0	1	1	1	1	1	1	1	1	1	1	1	1
10005	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10007	none	1	1	1	1	1	1	1	1	1	2	1	0	1	1
1001.1	none	0	1	0	0	0	0	0	0	0	1	1	1	0	0
1001.2	none	2	0	2	2	2	2	2	2	2	1	1	0	2	1
10011	none	2	0	1	1	1	1	1	1	1	1	1	1	2	0
10014	none	1	1	1	1	2	1	1	1	1	1	1	1	1	1
10016	none	1	0	1	1	1	1	0	0	0	1	1	1	1	1
10018	none	1	0	1	1	1	1	2	2	1	5	4	2	6	3
10022.1	none	3	3	1	1	1	2	1	1	1	1	1	2	1	1
10022.2	none	1	1	1	1	1	1	1	1	1	1	1	2	1	1
10032.1	none	1	0	0	0	0	0	0	0	0	1	1	1	1	2
10032.2	none	1	2	1	1	1	2	1	1	1	1	0	2	1	1
10039	none	1	1	1	1	1	1	1	1	1	1	2	2	1	2
10043	none	1	2	1	1	1	1	1	1	1	1	0	1	1	2
10048	none	1	1	1	1	0	2	1	1	1	1	1	3	1	1
10049	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10053	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10057	none	2	1	1	0	1	1	2	1	1	1	1	1	0	1
10060	none	0	1	0	0	0	0	0	0	0	1	0	0	0	0
10066	none	1	1	1	1	1	1	1	1	1	1	0	0	0	1
10068	none	1	1	1	1	2	1	2	1	1	1	1	1	1	1
10069	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10071	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10075	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10076	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10078	none	1	1	1	1	6	1	1	1	1	1	1	1	1	1
10079	none	1	1	1	2	1	1	1	1	1	1	1	1	2	1
10084	none	1	0	1	1	1	1	1	1	1	1	1	1	1	1
10085	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10086	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10090.1	none	1	1	1	2	2	1	1	1	1	0	0	1	0	1
10090.2	none	0	0	0	0	0	1	1	1	1	1	2	1	2	3
10093	none	1	1	1	1	2	2	1	2	2	1	1	1	0	1
10095	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10100	none	0	0	0	2	0	0	0	1	0	0	0	0	0	7
10101	none	2	1	1	1	1	1	1	1	1	1	1	1	1	2
10109	none	1	1	1	1	2	2	2	1	2	1	1	1	0	2
10115.1	none	0	0	0	0	0	1	0	0	0	0	0	1	1	1
10115.2	none	1	0	0	0	1	1	0	1	0	0	1	1	1	1
10117	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10119	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10120.1	none	1	1	1	1	2	1	1	1	2	2	2	2	2	2
10120.2	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10121	none	1	1	1	1	2	1	1	1	1	1	1	1	2	1
10139	none	1	1	1	1	1	1	1	1	1	1	1	1	2	2
10143.1.1	none	1	1	1	1	1	1	1	1	1	3	3	3	3	4
10143.1.2	none	1	1	1	1	1	1	1	1	1	1	0	1	1	2
10143.2	none	2	2	2	2	2	2	2	2	2	1	1	1	1	1
10148	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10149	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1015	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10151	none	0	0	0	0	1	1	1	1	1	0	0	0	1	2
10152	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10154	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10155	none	1	1	1	1	1	0	1	1	1	1	0	1	1	1
10156	none	0	0	0	0	0	0	2	0	0	0	1	1	0	0
