desc	ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
none	10643	3	1	1	1	1	1	1	2	2	1	1	1	1	1
none	11779	1	1	1	1	1	1	1	1	1	1	1	1	1	2
none	13188	1	1	1	1	1	1	1	1	1	1	2	1	1	1
none	14504	31	4	12	11	12	17	11	12	13	7	3	3	6	4
none	14740.1	12	2	8	8	9	8	7	7	7	4	4	4	4	4
none	14873.1	2	1	1	1	1	1	1	1	1	9	3	1	14	9
none	14873.2	3	1	2	3	1	1	1	1	1	1	1	1	1	1
none	15724	1	1	1	1	1	1	1	1	2	1	1	0	1	1
none	16872	1	0	2	2	2	2	2	2	2	1	1	1	1	1
none	170	1	2	1	2	1	4	4	1	1	1	1	1	1	1
none	17260.1	3	1	1	1	1	1	1	1	1	3	3	3	4	3
none	17260.2	9	1	3	3	3	2	3	2	2	4	3	3	4	8
none	17614	46	19	59	61	34	33	31	25	28	23	17	11	26	35
none	17994	1	2	2	2	2	2	2	1	4	1	1	1	1	1
none	1854	1	1	1	1	1	1	1	1	1	1	1	0	1	1
none	18693	1	1	1	1	1	1	1	1	1	1	1	1	1	3
none	18809	2	1	1	1	1	1	1	1	1	1	1	1	2	1
none	19377	1	0	1	1	1	1	1	1	1	1	0	1	1	1
none	22779	3	1	1	1	1	1	1	1	1	1	0	1	2	1
none	25484	1	2	1	2	1	1	1	1	1	2	2	2	2	2
none	2605	5	0	1	1	1	1	1	2	2	1	1	1	4	1
none	26655.2	1	1	2	2	1	1	2	1	1	4	4	2	3	3
none	27159	1	1	1	1	1	1	1	1	1	2	1	1	1	1
none	7079	11	2	4	4	3	5	4	1	5	3	2	2	9	4
none	787	2	2	1	1	1	1	1	1	1	3	1	2	1	4
none	89	2	6	1	2	1	10	2	1	1	1	1	1	1	2
