OGS	desc	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.0.014	none	0	0	0	0	0	0	0	0	0	0	1	4	2	1
sim.1.014	none	0	0	0	0	0	0	0	0	0	1	6	0	5	0
sim.10.014	none	0	0	0	0	0	0	0	0	0	11	9	1	7	8
sim.100.014	none	0	0	0	0	0	0	0	0	0	12	8	1	9	10
sim.101.014	none	0	0	0	0	0	0	0	0	0	5	2	19	10	10
sim.102.014	none	0	0	7	0	0	0	0	1	1	4	5	0	0	0
sim.103.014	none	0	0	3	0	2	0	1	5	4	0	0	0	0	0
sim.104.014	none	3	6	13	9	8	10	8	12	8	0	0	0	0	0
sim.105.014	none	0	0	0	0	0	0	0	0	0	6	1	7	12	9
sim.106.014	none	0	0	1	2	1	2	5	0	0	0	2	0	0	0
sim.107.014	none	0	0	0	0	0	0	0	0	0	5	10	2	2	2
sim.108.014	none	4	5	1	1	2	1	1	1	2	0	0	0	0	0
sim.109.014	none	8	1	9	13	10	4	14	5	3	0	0	0	0	0
sim.11.014	none	0	0	0	1	3	2	1	2	0	0	0	0	0	0
sim.110.014	none	0	0	0	0	0	0	0	0	0	8	5	8	2	5
sim.111.014	none	3	1	0	4	0	1	2	0	0	0	0	0	0	0
sim.112.014	none	0	0	1	5	2	3	2	3	3	1	0	0	2	2
sim.113.014	none	4	0	4	3	2	1	1	5	5	17	18	5	8	10
sim.114.014	none	0	1	0	2	1	1	1	0	3	0	5	4	1	1
sim.115.014	none	2	2	2	2	1	2	2	7	9	0	0	0	0	0
sim.116.014	none	5	6	12	10	5	3	7	6	7	2	0	0	0	0
sim.117.014	none	0	0	0	0	0	0	0	0	0	4	1	7	3	3
sim.118.014	none	1	7	6	1	1	3	0	3	2	0	2	0	0	0
sim.119.014	none	3	2	1	3	1	0	1	0	0	0	0	0	0	0
sim.12.014	none	0	0	0	0	0	0	0	0	0	11	4	0	0	0
sim.120.014	none	0	0	0	0	0	0	0	0	0	0	0	10	9	5
sim.121.014	none	0	0	0	0	0	0	0	0	0	5	0	0	0	0
sim.122.014	none	0	0	0	0	0	0	0	0	0	7	5	9	0	2
sim.123.014	none	1	1	0	0	1	4	1	0	0	0	0	3	1	1
sim.124.014	none	2	5	1	3	2	2	4	7	10	0	0	0	0	0
sim.125.014	none	0	3	9	6	10	7	11	1	1	0	0	0	0	0
sim.126.014	none	1	1	0	0	0	0	0	0	0	3	12	0	0	2
sim.127.014	none	0	0	0	0	0	0	0	0	0	1	0	3	3	5
