spname	spkey	strata
Drosophila ananassae	droAna	3:Schizophora
Drosophila grimshawi	droGri	3:Schizophora
Drosophila melanogaster	droMel	3:Schizophora
Drosophila mojavensis	droMoj	3:Schizophora
Drosophila pseudoobscura	droPse	3:Schizophora
Drosophila willistoni	droWil	3:Schizophora
Drosophila yakuba	droYak	3:Schizophora
Drosophila virilis	droVir	3:Schizophora
Ceratitis capitata	cerCap	3:Schizophora
Musca domestica	musDom	1:Muscidae
Glossina morsitans	gloMor	2:Calyptratae
Anopheles gambiae	anoGam	5:Diptera
Aedes aegypti 	aedAeg	5:Diptera
Culex quinquefasciatus	culQui	5:Diptera
Anopheles darlingi	anoDar	5:Diptera
Anopheles stephensi	anoSte	5:Diptera
Megaselia scalaris	megSca	4:Cyclorrhapha
Nasonia vitripennis	nasVit	6:Endopterygota
Acromyrmex echinatior	acrEch	6:Endopterygota
Apis mellifera	apiMel	6:Endopterygota
Apis florea	apiFlo	6:Endopterygota
Apis dorsata	apiDor	6:Endopterygota
Bombus impatiens	bomImp	6:Endopterygota
Bombus terrestris	bomTer	6:Endopterygota
Camponotus floridanus	camFlo	6:Endopterygota
Harpegnathos saltator	harSal	6:Endopterygota
Solenopsis invicta	solInv	6:Endopterygota
Atta cephalotes	attCep	6:Endopterygota
Megachile rotundata	megRot	6:Endopterygota
Tribolium castaneum	triCas	6:Endopterygota
Heliconius melpomene	helMel	6:Endopterygota
Bombyx mori	bomMor	6:Endopterygota
Danaus plexippus	danPle	6:Endopterygota
Acyrthosiphon pisum	acyPis	7:Insecta
Pediculus humanus	pedHum	7:Insecta
Rhodnius prolixus	rhoPro	7:Insecta
Dendroctonus ponderosae	denPon	6:Endopterygota
Metaseiulus occidentalis	metOcc	8:Arthropoda
Tetranychus urticae	tetUrt	8:Arthropoda
Ixodes scapularis	ixoSca	8:Arthropoda
Daphnia pulex	dapPul	8:Arthropoda
Strigamia maritima	strMar	8:Arthropoda
Caenorhabditis elegans	caeEle	9:Ecdysozoa
Caenorhabditis brenneri 	caeBre	9:Ecdysozoa
Caenorhabditis briggsae	caeBri	9:Ecdysozoa
Caenorhabditis japonica 	caeJap	9:Ecdysozoa
Caenorhabditis remanei 	caeRem	9:Ecdysozoa
Brugia malayi	bruMal	9:Ecdysozoa
Loa loa	loaLoa	9:Ecdysozoa
Onchocerca volvulus	oncVol	9:Ecdysozoa
Pristionchus pacificus	priPac	9:Ecdysozoa
Trichinella spiralis	triSpi	9:Ecdysozoa
Capitella teleta	capTel	10:Protostomia
Helobdella robusta	helRob	10:Protostomia
Schistosoma manson	schMan	10:Protostomia
Crassostrea gigas	craGig	10:Protostomia
Lottia gigantea 	lotGig	10:Protostomia
Ciona intestinalis	cioInt	11:Bilateria
Strongylocentrotus purpuratus	strPup	11:Bilateria
Bos taurus	bosTau	11:Bilateria
Canis lupus familiaris	canFam	11:Bilateria
Danio rerio	danRer	11:Bilateria
Gallus gallus	galGal	11:Bilateria
Homo sapiens	homSap	11:Bilateria
Monodelphis domestica	monDom	11:Bilateria
Mus musculus	musMus	11:Bilateria
Oryzias latipes	oryLat	11:Bilateria
Xenopus tropicalis	xenTro	11:Bilateria
Hydra magnipapillata	hydMag	12:Metazoa
Nematostella vectensis	nemVec	12:Metazoa
Trichoplax adhaerens	triAdh	12:Metazoa
Amphimedon queenslandica	ampQue	12:Metazoa
Saccharomyces cerevisiae	sacCer	13:Opisthokont
Schizosaccharomyces pombe	schPom	13:Opisthokont
Aspergillus nidulans	aspNid	13:Opisthokont
Neurospora crassa 	neuCra	13:Opisthokont
