mdomid	ogsid
LOC101889536_XP_005183781.1	22927
LOC101899469_XP_005181599.1	7054
LOC101892804_XP_005186220.1	18697
LOC101893149_XP_005185064.1	17367
LOC101893809_XP_005183045.1	8348
LOC101897968_XP_005182537.1	22587
LOC101899304_XP_005184447.1	12753
LOC101894677_XP_005191113.1	13742
LOC101899057_XP_005180287.1	24127
LOC101889324_XP_005189403.1	22129
LOC101897472_XP_005186248.1	15460.1
LOC101893745_XP_005179562.1	25617
LOC101887764_XP_005190030.1	24744
LOC101887946_XP_005179340.1	13141
LOC101898729_XP_005187080.1	9918
LOC101887851_XP_005185708.1	2335
LOC101901032_XP_005186354.1	12661
LOC101899063_XP_005184270.1	6020
LOC101896996_XP_005184846.1	26130
LOC101887316_XP_005175908.1	18290
LOC101894316_XP_005179381.1	14306
LOC101891655_XP_005186048.1	26324
LOC101887428_XP_005191155.1	5203
LOC101896014_XP_005183979.1	12593
LOC101894921_XP_005184061.1	10634
LOC101899478_XP_005183172.1	27215
LOC101888180_XP_005180044.1	4216.1
LOC101898434_XP_005183913.1	16999
LOC101891683_XP_005176099.1	1043
LOC101891471_XP_005185233.1	10143.2
LOC101897816_XP_005185918.1	5524
LOC101892055_XP_005186550.1	21163
LOC101898532_XP_005178702.1	125
LOC101892449_XP_005185060.1	24787
LOC101901304_XP_005182047.1	9746
LOC101901086_XP_005183434.1	22865
LOC101893594_XP_005185831.1	14504
LOC101896298_XP_005187486.1	10558.1
LOC101894592_XP_005182430.1	3920
LOC101892915_XP_005186971.1	23853
LOC101897367_XP_005189684.1	11413.2
LOC101888812_XP_005179345.1	27451
LOC101898975_XP_005190477.1	20661.1
LOC101899549_XP_005188470.1	9387
LOC101892555_XP_005179987.1	24925
LOC101891799_XP_005179813.1	4293
LOC101896584_XP_005185841.1	1748
LOC101898963_XP_005186997.1	6289
LOC101893442_XP_005188694.1	3399
LOC101901517_XP_005179953.1	26885
LOC101895553_XP_005184249.1	7349
LOC101897346_XP_005184590.1	21045
LOC101899678_XP_005181003.1	14941
LOC101888723_XP_005187699.1	1625
LOC101895445_XP_005189351.1	1007
LOC101895841_XP_005184426.1	21592
LOC101900740_XP_005186182.1	114
LOC101891048_XP_005179978.1	5346
LOC101897961_XP_005180018.1	4045
LOC101887569_XP_005181616.1	17392
LOC101890061_XP_005190927.1	4243
PASA1_gene_31_PASA1_model_32	206
LOC101900937_XP_005191572.1	11153
LOC101896173_XP_005183059.1	6435
LOC101900791_XP_005184187.1	26436
LOC101888475_XP_005181106.1	7202
LOC101899330_XP_005192253.1	9421
LOC101892192_XP_005191521.1	13730
LOC101900794_XP_005184939.1	11528
LOC101893521_XP_005180253.1	7316
LOC101897546_XP_005175155.1	19189
LOC101900790_XP_005184097.1	24574
LOC101901250_XP_005181959.1	11287
LOC101897217_XP_005180808.1	19323
LOC101901780_XP_005175907.1	20369
LOC101888444_XP_005188995.1	9933
