#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0264975          -          BGBP                 -           3.8e-134  447.5   0.0  4.6e-134  447.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:complement(15388350..15388547,15388606..15388983,15389053..15389837,15390021..15390138); ID=FBpp0264975; name=Dyak\GNBP1-PA; parent=FBgn0067448,FBtr0266483; dbxref=FlyBase:FBpp0264975,FlyBase_Annotation_IDs:GE19965-PA,GB_protein:EDW94595,REFSEQ:XP_002094883,FlyMine:FBpp0264975; MD5=812d81afcc516ec569171a72046cb240; length=492; release=r1.3; species=Dyak; 
FBpp0267074          -          BGBP                 -           2.4e-123  412.0   4.2   1.3e-95  320.7   0.6   2.0   1   1   1   2   2   2   2 type=protein; loc=3L:join(15390908..15390944,15391151..15391583,15391642..15391955,15392017..15392073,15392144..15392601); ID=FBpp0267074; name=Dyak\GE22064-PA; parent=FBgn0239294,FBtr0268582; dbxref=FlyBase:FBpp0267074,FlyBase_Annotation_IDs:GE22064-PA,GB_protein:EDW94596,REFSEQ:XP_002094884,FlyMine:FBpp0267074; MD5=b58a369c378a020c548c0c20c78730e6; length=432; release=r1.3; species=Dyak; 
FBpp0265799          -          BGBP                 -           2.8e-119  398.6   0.2  3.4e-119  398.3   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:complement(2964181..2965653); ID=FBpp0265799; name=Dyak\GE20789-PA; parent=FBgn0238085,FBtr0267307; dbxref=FlyBase:FBpp0265799,FlyBase_Annotation_IDs:GE20789-PA,GB_protein:EDW93097,REFSEQ:XP_002093385,FlyMine:FBpp0265799; MD5=2259bcebb8394a72fd68f22b0fbe4e46; length=490; release=r1.3; species=Dyak; 
FBpp0264978          -          BGBP                 -            4.3e-57  193.8   0.3   3.2e-55  187.6   0.3   2.0   1   1   0   1   1   1   1 type=protein; loc=3L:complement(15384398..15384595,15384659..15384993,15385062..15385923); ID=FBpp0264978; name=Dyak\GE19968-PA; parent=FBgn0237296,FBtr0266486; dbxref=FlyBase:FBpp0264978,FlyBase_Annotation_IDs:GE19968-PA,GB_protein:EDW94593,REFSEQ:XP_002094881,FlyMine:FBpp0264978; MD5=585dd00390067a06cd2528b17d7f68e6; length=464; release=r1.3; species=Dyak; 
FBpp0264976          -          BGBP                 -            1.3e-36  126.3   0.4   7.6e-35  120.5   0.4   2.0   1   1   0   1   1   1   1 type=protein; loc=3L:complement(15386215..15386421,15386477..15386784,15387302..15388039,15388095..15388218); ID=FBpp0264976; name=Dyak\GE19966-PA; parent=FBgn0237294,FBtr0266484; dbxref=FlyBase:FBpp0264976,FlyBase_Annotation_IDs:GE19966-PA,GB_protein:EDW94594,REFSEQ:XP_002094882,FlyMine:FBpp0264976; MD5=70b8a1e9bdc9ea390bf9e96a43a12b3d; length=458; release=r1.3; species=Dyak; 
FBpp0258807          -          BGBP                 -            1.5e-13   50.4   0.0   1.7e-13   50.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:12761814..12762188; ID=FBpp0258807; name=Dyak\GE13797-PA; parent=FBgn0231449,FBtr0260315; dbxref=FlyBase:FBpp0258807,FlyBase_Annotation_IDs:GE13797-PA,GB_protein:EDW91388,REFSEQ:XP_002091676,FlyMine:FBpp0258807; MD5=6a5eec43fd799976488b87ff961adfb5; length=124; release=r1.3; species=Dyak; 
FBpp0257127          -          BGBP                 -            2.8e-13   49.5   0.0     3e-13   49.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:complement(12782499..12782957); ID=FBpp0257127; name=Dyak\GE12117-PA; parent=FBgn0229886,FBtr0258635; dbxref=FlyBase:FBpp0257127,FlyBase_Annotation_IDs:GE12117-PA,GB_protein:EDW91396,REFSEQ:XP_002091684,FlyMine:FBpp0257127; MD5=18b95bb95087f3fe94e8446bf86376fe; length=152; release=r1.3; species=Dyak; 
FBpp0267967          -          BGBP                 -            4.3e-13   48.9   0.0   4.5e-13   48.8   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(17095424..17095726); ID=FBpp0267967; name=Dyak\GE22957-PA; parent=FBgn0240158,FBtr0269475; dbxref=FlyBase:FBpp0267967,FlyBase_Annotation_IDs:GE22957-PA,GB_protein:EDW89360,REFSEQ:XP_002089648,FlyMine:FBpp0267967; MD5=7514c105e520b9635fc211a4725150fd; length=100; release=r1.3; species=Dyak; 
FBpp0264568          -          CLIPA                -           9.2e-123  408.8   0.1  1.5e-122  408.1   0.1   1.3   1   0   0   1   1   1   1 type=protein; loc=3L:complement(21865171..21865774,21865840..21866138,21866486..21867376,21867785..21869557); ID=FBpp0264568; name=Dyak\GE19558-PA; parent=FBgn0236898,FBtr0266076; dbxref=FlyBase:FBpp0264568,FlyBase_Annotation_IDs:GE19558-PA,GB_protein:EDW95427,REFSEQ:XP_002095715,FlyMine:FBpp0264568; MD5=3593550a09d68a1cd85401a0959ed33a; length=1188; release=r1.3; species=Dyak; 
FBpp0271151          -          CLIPA                -           1.4e-122  408.2   0.2  1.5e-122  408.1   0.2   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(12978549..12979156,12979218..12979473,12979538..12979945); ID=FBpp0271151; name=Dyak\GE26141-PA; parent=FBgn0068293,FBtr0272659; dbxref=FlyBase:FBpp0271151,FlyBase_Annotation_IDs:GE26141-PA,GB_protein:EDW88785,REFSEQ:XP_002089073,FlyMine:FBpp0271151; MD5=352956194f28ebf560a676c85b3a5196; length=423; release=r1.3; species=Dyak; 
FBpp0264229          -          CLIPA                -           4.2e-108  360.6   2.7  2.4e-106  354.9   2.7   2.0   1   1   0   1   1   1   1 type=protein; loc=2L:join(17246744..17247247,17247817..17248692); ID=FBpp0264229; name=Dyak\GE19219-PA; parent=FBgn0236576,FBtr0265737; dbxref=FlyBase:FBpp0264229,FlyBase_Annotation_IDs:GE19219-PA,GB_protein:EDW89384,REFSEQ:XP_002089672,FlyMine:FBpp0264229; MD5=c8ff1754a344bde9bd2dbcc4a5cfedcd; length=459; release=r1.3; species=Dyak; 
