fbgn	sym	synonyms	class	notes
FBgn0043578	PGRP-SB1		effector	amidase activity, degrades PGN but not TCT, may function as an AMP
FBgn0043577	PGRP-SB2		effector	amidase activity, degrades PGN but not TCT, may function as an AMP
FBgn0012042	AttA		effector	AMP
FBgn0041581	AttB		effector	AMP
FBgn0041579	AttC		effector	AMP
FBgn0038530	AttD		effector	AMP
FBgn0000276	CecA1		effector	AMP
FBgn0000277	CecA2		effector	AMP
FBgn0000278	CecB		effector	AMP
FBgn0000279	CecC		effector	AMP
FBgn0010385	Def		effector	AMP
FBgn0004240	Dpt		effector	AMP
FBgn0034407	DptB		effector	AMP
FBgn0010388	Dro		effector	AMP
FBgn0010381	Drs		effector	AMP
FBgn0052274	Drsl1		effector	AMP
FBgn0052279	Drsl2		effector	AMP
FBgn0052283	Drsl3		effector	AMP
FBgn0052282	Drsl4		effector	AMP
FBgn0035434	Drsl5		effector	AMP
FBgn0052268	Drsl6		effector	AMP
FBgn0033593	Listericin		effector	AMP
FBgn0014865	Mtk		effector	AMP
FBgn0087035	AGO2		effector	antiviral RNAi
FBgn0033062	Ars2		effector	antiviral RNAi
FBgn0022943	Cbp20		effector	antiviral RNAi
FBgn0022942	Cbp80		effector	antiviral RNAi
FBgn0031951	r2d2		effector	antiviral RNAi
FBgn0034246	Dcr-2		effector	antiviral RNAi (may also function as a recognition molecule to trigger antiviral responses)
FBgn0028707	Mt2		effector	antiviral, binds virus directly, required for efficient response to DCV
FBgn0030262	Vago		effector	antiviral, seems to directly control viral load in fat body
FBgn0039798	CG11313		effector	clotting pathway
FBgn0028526	CG15293		effector	clotting pathway
FBgn0004592	Eig71Ee		effector	clotting pathway
FBgn0000639	Fbp1		effector	clotting pathway
FBgn0032773	fon		effector	clotting pathway
FBgn0029167	Hml		effector	clotting pathway
FBgn0002562	Lsp1α		effector	clotting pathway
FBgn0002563	Lsp1β		effector	clotting pathway
FBgn0002564	Lsp1γ		effector	clotting pathway
FBgn0002565	Lsp2		effector	clotting pathway
FBgn0087002	Rfabg		effector	clotting pathway
FBgn0031975	Tg		effector	clotting pathway
FBgn0011722	Tig		effector	clotting pathway
FBgn0031464	Duox		effector	gut immune response / DUOX cascade, ROS generation
FBgn0004435	Galphaq		effector	gut immune response / DUOX cascade, ROS generation
FBgn0262738	norpA		effector	gut immune response / DUOX cascade, ROS generation
FBgn0034330	CG18107		effector	IM protein
FBgn0053470	CG33470		effector	IM protein
FBgn0034329	IM1		effector	IM protein
FBgn0033835	IM10		effector	IM protein
FBgn0025583	IM2		effector	IM protein
FBgn0034328	IM23		effector	IM protein
FBgn0040736	IM3		effector	IM protein
FBgn0040653	IM4		effector	IM protein
FBgn0022355	Tsf1		effector	iron binding
FBgn0036299	Tsf2		effector	iron binding
FBgn0034094	Tsf3		effector	iron binding
FBgn0034539	CG11159		effector	Lysozyme-like domain
FBgn0035734	CG14823		effector	Lysozyme-like domain
FBgn0029765	CG16756		effector	Lysozyme-like domain
FBgn0034538	CG16799		effector	Lysozyme-like domain
FBgn0025827	CG6421		effector	Lysozyme-like domain
FBgn0034162	CG6426		effector	Lysozyme-like domain
FBgn0046999	CG6429		effector	Lysozyme-like domain
