#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0275484          -          BGBP                 -           2.8e-126  421.7   0.0  3.5e-126  421.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=XR_group6:join(11579122..11579248,11579310..11580484,11580551..11580748); ID=FBpp0275484; name=Dpse\GA19936-PA; parent=FBgn0079932,FBtr0277046; dbxref=FlyBase:FBpp0275484,FlyBase_Annotation_IDs:GA19936-PA,GB_protein:EAL29729,REFSEQ:XP_001353993,FlyMine:FBpp0275484,modMine:FBpp0275484; MD5=9f0905dd479084674a581a4a75b0c605; length=499; release=r3.2; species=Dpse; 
FBpp0286245          -          BGBP                 -           1.4e-119  399.7   0.1  1.6e-119  399.4   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=XR_group8:complement(4204927..4206417); ID=FBpp0286245; name=Dpse\GA18590-PA; parent=FBgn0078591,FBtr0287807; dbxref=FlyBase:FBpp0286245,FlyBase_Annotation_IDs:GA18590-PA,GB_protein:EAL30271,REFSEQ:XP_001352771,FlyMine:FBpp0286245,modMine:FBpp0286245; MD5=085effe306ce178c3289f9da1d85335d; length=496; release=r3.2; species=Dpse; 
FBpp0274078          -          BGBP                 -           2.4e-117  392.3   1.3    1e-114  383.6   1.3   2.0   1   1   0   1   1   1   1 type=protein; loc=XR_group6:complement(11577026..11577483,11577541..11577597,11577663..11578409,11578475..11578511); ID=FBpp0274078; name=Dpse\GA17986-PA; parent=FBgn0077995,FBtr0275640; dbxref=FlyBase:FBpp0274078,FlyBase_Annotation_IDs:GA17986-PA,GB_protein:EAL29728,REFSEQ:XP_001353992,FlyMine:FBpp0274078,modMine:FBpp0274078; MD5=4b55491d2aa4cb0cfe77ed828f2b8227; length=432; release=r3.2; species=Dpse; 
FBpp0275486          -          BGBP                 -              3e-55  187.8   3.6   1.9e-53  181.9   3.6   2.0   1   1   0   1   1   1   1 type=protein; loc=XR_group6:join(11583044..11583680,11583743..11584074,11584176..11584385); ID=FBpp0275486; name=Dpse\GA23915-PA; parent=FBgn0245314,FBtr0277048; dbxref=FlyBase:FBpp0275486,FlyBase_Annotation_IDs:GA23915-PA,GB_protein:EDY73813,REFSEQ:XP_002135186,FlyMine:FBpp0275486,modMine:FBpp0275486; MD5=127f3ca56d24c67fab5dd194aada2acd; length=392; release=r3.2; species=Dpse; 
FBpp0275485          -          BGBP                 -            2.8e-22   79.2   0.0   3.6e-22   78.9   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=XR_group6:join(11581718..11581787,11581854..11582172,11582223..11582244); ID=FBpp0275485; name=Dpse\GA23914-PA; parent=FBgn0245313,FBtr0277047; dbxref=FlyBase:FBpp0275485,FlyBase_Annotation_IDs:GA23914-PA,GB_protein:EDY73812,REFSEQ:XP_002135185,FlyMine:FBpp0275485,modMine:FBpp0275485; MD5=d79b92799d85f06476a921fc9046a258; length=136; release=r3.2; species=Dpse; 
FBpp0278084          -          BGBP                 -            1.7e-14   53.6   0.0   1.8e-14   53.5   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3:10504636..10505103; ID=FBpp0278084; name=Dpse\GA12275-PA; parent=FBgn0072321,FBtr0279646; dbxref=FlyBase:FBpp0278084,FlyBase_Annotation_IDs:GA12275-PA,GB_protein:EAL25742,REFSEQ:XP_001361165,FlyMine:FBpp0278084,modMine:FBpp0278084; MD5=4597fc4ea60af3cc813bbd0fd0d450ef; length=155; release=r3.2; species=Dpse; 
FBpp0277022          -          BGBP                 -            1.7e-13   50.3   0.0   1.8e-13   50.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3:complement(2411759..2412064); ID=FBpp0277022; name=Dpse\GA11807-PA; parent=FBgn0071856,FBtr0278584; dbxref=FlyBase:FBpp0277022,FlyBase_Annotation_IDs:GA11807-PA,GB_protein:EAL24880,REFSEQ:XP_001360305,FlyMine:FBpp0277022,modMine:FBpp0277022; MD5=e573e21993b107a4dfe34bc8389bd5fa; length=101; release=r3.2; species=Dpse; 
FBpp0276382          -          BGBP                 -            1.1e-12   47.6   0.0   1.3e-12   47.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3:complement(10525197..10525571); ID=FBpp0276382; name=Dpse\GA15677-PA; parent=FBgn0075694,FBtr0277944; dbxref=FlyBase:FBpp0276382,FlyBase_Annotation_IDs:GA15677-PA,GB_protein:EAL25748,REFSEQ:XP_001361171,FlyMine:FBpp0276382,modMine:FBpp0276382; MD5=e9c9cc61e4baa99972bcedbb34d3859a; length=124; release=r3.2; species=Dpse; 
FBpp0279863          -          BGBP                 -            0.00043   19.4   0.0   0.00043   19.4   0.0   1.2   1   0   0   1   1   1   1 type=protein; loc=4_group3:complement(6746246..6746429,6748151..6748314); ID=FBpp0279863; name=Dpse\GA25695-PA; parent=FBgn0247072,FBtr0281425; dbxref=FlyBase:FBpp0279863,FlyBase_Annotation_IDs:GA25695-PA,GB_protein:EDY70174,REFSEQ:XP_002132772,FlyMine:FBpp0279863,modMine:FBpp0279863; MD5=1258024ca4d36eea6d6b29b4785f0b89; length=115; release=r3.2; species=Dpse; 
FBpp0286751          -          CLIPA                -           2.2e-123  410.9   0.2  3.5e-123  410.2   0.2   1.3   1   0   0   1   1   1   1 type=protein; loc=XR_group8:join(2026030..2027802,2028239..2029168,2029267..2029568,2029641..2030244); ID=FBpp0286751; name=Dpse\GA18581-PA; parent=FBgn0078582,FBtr0288313; dbxref=FlyBase:FBpp0286751,FlyBase_Annotation_IDs:GA18581-PA,GB_protein:EAL30060,REFSEQ:XP_001352563,FlyMine:FBpp0286751,modMine:FBpp0286751; MD5=b3e7b411afc6e608ac356e1eeeff1540; length=1202; release=r3.2; species=Dpse; 
FBpp0278382          -          CLIPA                -           4.1e-109  364.0   2.5  6.9e-108  360.0   2.5   2.0   1   1   0   1   1   1   1 type=protein; loc=3:join(13729691..13730203,13730257..13731132); ID=FBpp0278382; name=Dpse\GA21292-PA; parent=FBgn0081280,FBtr0279944; dbxref=FlyBase:FBpp0278382,FlyBase_Annotation_IDs:GA21292-PA,GB_protein:EAL26101,REFSEQ:XP_001361523,FlyMine:FBpp0278382,modMine:FBpp0278382; MD5=81012c2e792c966ebdd19653647c9879; length=462; release=r3.2; species=Dpse; 
