dmelid	ogsid
FBgn0051337_FBpp0082258	3543
FBgn0035103_FBpp0306194	20496
FBgn0030828_FBpp0074167	25523
FBgn0039328_FBpp0084223	11848
FBgn0023511_FBpp0304832	20767
FBgn0036398_FBpp0075510	5285
FBgn0000317_FBpp0080283	11584.2
FBgn0052792_FBpp0298009	4089
FBgn0017577_FBpp0081756	3032
FBgn0037548_FBpp0112116	1001.2
FBgn0037571_FBpp0081348	24707.1
FBgn0086266_FBpp0078870	18528
FBgn0030603_FBpp0073775	16730
FBgn0050423_FBpp0312189	22084
FBgn0017567_FBpp0082645	19656
FBgn0003885_FBpp0081062	5127.2
FBgn0035412_FBpp0072902	21658
FBgn0000115_FBpp0075272	14498
FBgn0024811_FBpp0088182	11990
FBgn0030247_FBpp0312028	22333
FBgn0029809_FBpp0070779	15504
FBgn0011224_FBpp0297632	24347
FBgn0035143_FBpp0072452	25080
FBgn0012037_FBpp0080129	5812.1
FBgn0061492_FBpp0290663	11152
FBgn0039469_FBpp0084447	20535
FBgn0086708_FBpp0112337	6321
FBgn0036416_FBpp0075482	14470
FBgn0001142_FBpp0289795	10498
FBgn0031457_FBpp0077416	19804
FBgn0026432_FBpp0075793	12427
FBgn0038105_FBpp0082190	26655.2
FBgn0037606_FBpp0306432	18498
FBgn0050098_FBpp0086312	17614
FBgn0030761_FBpp0303435	10682
FBgn0053840_FBpp0091086	6330.1.1
FBgn0026324_FBpp0077415	25372
FBgn0035293_FBpp0072737	6222
FBgn0035014_FBpp0072207	26075
FBgn0030695_FBpp0300347	24158
FBgn0037547_FBpp0081286	1001.2
FBgn0052037_FBpp0305999	2765
FBgn0036686_FBpp0075034	23268
FBgn0029590_FBpp0301697	25134
FBgn0012051_FBpp0309435	3648
FBgn0027594_FBpp0306204	18958
FBgn0035312_FBpp0072791	1996
FBgn0266666_FBpp0079031	4756
FBgn0003386_FBpp0288427	4767
FBgn0264253_FBpp0080214	1625
FBgn0000032_FBpp0084975	8573
FBgn0031817_FBpp0078900	13475
FBgn0041147_FBpp0073018	21794
FBgn0053879_FBpp0091124	6330.1.1
FBgn0034638_FBpp0311195	3940
FBgn0029751_FBpp0070724	15913
FBgn0266671_FBpp0085888	1283
FBgn0037710_FBpp0081591	3740
FBgn0036714_FBpp0074977	4101
FBgn0051960_FBpp0077183	25667
FBgn0024183_FBpp0080279	8405
FBgn0004435_FBpp0305314	10643
FBgn0032406_FBpp0079881	7068
FBgn0004378_FBpp0072616	14391
FBgn0033027_FBpp0291229	8794
FBgn0003980_FBpp0311564	3895
FBgn0036760_FBpp0074927	21336
FBgn0038028_FBpp0310760	23129
FBgn0040797_FBpp0292054	2496
FBgn0016080_FBpp0074179	22302
FBgn0038931_FBpp0083579	2206
FBgn0004841_FBpp0111701	2166.2
FBgn0052669_FBpp0073268	15944.2
FBgn0024913_FBpp0088273	23861.1
FBgn0039065_FBpp0083780	22721
FBgn0036437_FBpp0075434	13978
FBgn0264855_FBpp0088945	14675
FBgn0026088_FBpp0070348	10586
