#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0163182          -          BGBP                 -           2.2e-122  408.6   0.0  2.7e-122  408.4   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:join(23826094..23826235,23826290..23827120,23827188..23827504,23827826..23828023); ID=FBpp0163182; name=Dmoj\GI13965-PA; parent=FBgn0136719,FBtr0164690; dbxref=FlyBase:FBpp0163182,FlyBase_Annotation_IDs:GI13965-PA,GB_protein:EDW19790,REFSEQ:XP_002009314,FlyMine:FBpp0163182,modMine:FBpp0163182; MD5=82199653471395d43f20968e3baf4d8d; length=495; release=r1.3; species=Dmoj; 
FBpp0162157          -          BGBP                 -           9.2e-110  367.1   0.0  1.1e-109  366.8   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6680:4960658..4962121; ID=FBpp0162157; name=Dmoj\GI12940-PA; parent=FBgn0135697,FBtr0163665; dbxref=FlyBase:FBpp0162157,FlyBase_Annotation_IDs:GI12940-PA,GB_protein:EDW17898,REFSEQ:XP_002007422,FlyMine:FBpp0162157,modMine:FBpp0162157; MD5=b7bd3cfd370eab4717b31053cd891d21; length=487; release=r1.3; species=Dmoj; 
FBpp0160528          -          BGBP                 -           1.2e-106  356.9   4.7  5.9e-104  348.0   4.7   2.0   1   1   0   1   1   1   1 type=protein; loc=scaffold_6680:complement(23818792..23819249,23820716..23820772,23820837..23821619,23821676..23821733); ID=FBpp0160528; name=Dmoj\GI11311-PA; parent=FBgn0134072,FBtr0162036; dbxref=FlyBase:FBpp0160528,FlyBase_Annotation_IDs:GI11311-PA,GB_protein:EDW19789,REFSEQ:XP_002009313,FlyMine:FBpp0160528,modMine:FBpp0160528; MD5=791b2c101d120284ce00ef7198d69d7c; length=451; release=r1.3; species=Dmoj; 
FBpp0170161          -          BGBP                 -            5.2e-14   51.8   0.0   5.9e-14   51.6   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:18449093..18449572; ID=FBpp0170161; name=Dmoj\GI20944-PA; parent=FBgn0143678,FBtr0171669; dbxref=FlyBase:FBpp0170161,FlyBase_Annotation_IDs:GI20944-PA,GB_protein:EDW10185,REFSEQ:XP_002006250,FlyMine:FBpp0170161,modMine:FBpp0170161; MD5=f4dde2106983745971827d2d398f3b64; length=159; release=r1.3; species=Dmoj; 
FBpp0167884          -          BGBP                 -            7.3e-14   51.3   0.0     8e-14   51.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:complement(18477588..18477962); ID=FBpp0167884; name=Dmoj\GI18667-PA; parent=FBgn0141406,FBtr0169392; dbxref=FlyBase:FBpp0167884,FlyBase_Annotation_IDs:GI18667-PA,GB_protein:EDW10192,REFSEQ:XP_002006257,FlyMine:FBpp0167884,modMine:FBpp0167884; MD5=d31ad25950c410fa1634b54faf3c9531; length=124; release=r1.3; species=Dmoj; 
FBpp0170162          -          BGBP                 -            1.2e-12   47.3   0.0   1.3e-12   47.2   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:join(18451214..18451576,18454414..18454428); ID=FBpp0170162; name=Dmoj\GI20945-PA; parent=FBgn0143679,FBtr0171670; dbxref=FlyBase:FBpp0170162,FlyBase_Annotation_IDs:GI20945-PA,GB_protein:EDW10186,REFSEQ:XP_002006251,FlyMine:FBpp0170162,modMine:FBpp0170162; MD5=f6dac9bfe059710dd9ace4cd545adcc6; length=125; release=r1.3; species=Dmoj; 
FBpp0168684          -          CLIPA                -           9.1e-125  415.2   1.0  1.1e-124  414.9   1.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6500:complement(29927470..29928077,29928136..29928388,29929396..29929731); ID=FBpp0168684; name=Dmoj\GI19467-PA; parent=FBgn0142205,FBtr0170192; dbxref=FlyBase:FBpp0168684,FlyBase_Annotation_IDs:GI19467-PA,GB_protein:EDW13537,REFSEQ:XP_002004095,FlyMine:FBpp0168684,modMine:FBpp0168684; MD5=4735c6b62e0039a5a9fffc778174d253; length=398; release=r1.3; species=Dmoj; 
FBpp0165751          -          CLIPA                -           9.5e-123  408.6   0.1  1.6e-122  407.9   0.1   1.3   1   0   0   1   1   1   1 type=protein; loc=scaffold_6654:complement(2502277..2502880,2502940..2503241,2503348..2504247,2504665..2506401); ID=FBpp0165751; name=Dmoj\GI16534-PA; parent=FBgn0139282,FBtr0167259; dbxref=FlyBase:FBpp0165751,FlyBase_Annotation_IDs:GI16534-PA,GB_protein:EDW17392,REFSEQ:XP_002012261,FlyMine:FBpp0165751,modMine:FBpp0165751; MD5=c4db4a45fa9b19f012a0313a5659f779; length=1180; release=r1.3; species=Dmoj; 
FBpp0169991          -          CLIPA                -           6.1e-105  350.1   0.3  5.8e-103  343.6   0.0   2.0   1   1   1   2   2   2   1 type=protein; loc=scaffold_6496:join(15485251..15485733,15485788..15486669); ID=FBpp0169991; name=Dmoj\GI20774-PA; parent=FBgn0143509,FBtr0171499; dbxref=FlyBase:FBpp0169991,FlyBase_Annotation_IDs:GI20774-PA,GB_protein:EDW09904,REFSEQ:XP_002005969,FlyMine:FBpp0169991,modMine:FBpp0169991; MD5=b8e82b27fe56b582f457b6a9886bcf82; length=454; release=r1.3; species=Dmoj; 
FBpp0168024          -          CLIPA                -           2.4e-104  348.2   0.1  2.7e-103  344.7   0.1   1.9   1   1   0   1   1   1   1 type=protein; loc=scaffold_6496:complement(15481083..15481955,15482020..15482463); ID=FBpp0168024; name=Dmoj\GI18807-PA; parent=FBgn0141546,FBtr0169532; dbxref=FlyBase:FBpp0168024,FlyBase_Annotation_IDs:GI18807-PA,GB_protein:EDW09903,REFSEQ:XP_002005968,FlyMine:FBpp0168024,modMine:FBpp0168024; MD5=a49b3899543e38add7e118f9dd7397ad; length=438; release=r1.3; species=Dmoj; 
FBpp0173587          -          CLIPA                -           1.9e-103  345.2   0.0  2.1e-103  345.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:10744888..10746150; ID=FBpp0173587; name=Dmoj\GI24370-PA; parent=FBgn0147093,FBtr0175095; dbxref=FlyBase:FBpp0173587,FlyBase_Annotation_IDs:GI24370-PA,GB_protein:EDW14646,REFSEQ:XP_001999185,FlyMine:FBpp0173587,modMine:FBpp0173587; MD5=6c6cb0000be6f5778b7f8c8fb3a7ea46; length=420; release=r1.3; species=Dmoj; 
FBpp0172285          -          CLIPA                -           6.7e-103  343.4   0.0  7.5e-103  343.3   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_6540:complement(13177637..13178225,13178276..13178532,13178601..13178776,13178832..13178973); ID=FBpp0172285; name=Dmoj\GI23068-PA; parent=FBgn0145795,FBtr0173793; dbxref=FlyBase:FBpp0172285,FlyBase_Annotation_IDs:GI23068-PA,GB_protein:EDW14898,REFSEQ:XP_001999437,FlyMine:FBpp0172285,modMine:FBpp0172285; MD5=d2f8e1cb6901dbb0c168d39e64e69ba6; length=387; release=r1.3; species=Dmoj; 
FBpp0166044          -          CLIPA                -            1.1e-92  309.9  19.2   1.7e-91  306.0  19.2   2.6   1   1   0   1   1   1   1 type=protein; loc=scaffold_6654:join(1812205..1812466,1812528..1812809,1812870..1813025,1813083..1814021,1814083..1815010,1815090..1815367,1815428..1815750); ID=FBpp0166044; name=Dmoj\GI16827-PA; parent=FBgn0139574,FBtr0167552; dbxref=FlyBase:FBpp0166044,FlyBase_Annotation_IDs:GI16827-PA,GB_protein:EDW17308,REFSEQ:XP_002012177,FlyMine:FBpp0166044,modMine:FBpp0166044; MD5=9dd91b38e2043e39a8f7ae446a954531; length=1055; release=r1.3; species=Dmoj; 
FBpp0168648          -          CLIPA                -            5.1e-76  255.2   0.0   5.9e-76  255.0   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_6496:complement(5455003..5455221,5455303..5455681,5455750..5455927,5456188..5456697,5459007..5459186,5462124..5462313); ID=FBpp0168648; name=Dmoj\GI19431-PA; parent=FBgn0142169,FBtr0170156; dbxref=FlyBase:FBpp0168648,FlyBase_Annotation_IDs:GI19431-PA,GB_protein:EDW08680,REFSEQ:XP_002004745,FlyMine:FBpp0168648,modMine:FBpp0168648; MD5=1cb7060373bf2bc6a965669abcd0cae7; length=551; release=r1.3; species=Dmoj; 
