#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0074817          -          BGBP                 -           2.5e-135  452.4   0.0    3e-135  452.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:join(18676006..18676123,18676296..18677080,18677145..18677522,18677579..18677776); ID=FBpp0074817; name=GNBP1-PA; parent=FBgn0040323,FBtr0075050; dbxref=FlyBase:FBpp0074817,FlyBase_Annotation_IDs:CG6895-PA,GB_protein:AAF49244.1,REFSEQ:NP_524142,GB_protein:AAF49244,FlyMine:FBpp0074817,modMine:FBpp0074817; MD5=3319c8f13047af04e61708ace37337a8; length=492; release=r6.02; species=Dmel; 
FBpp0074861          -          BGBP                 -           3.5e-129  432.1   5.0    3e-101  340.1   0.7   2.0   1   1   1   2   2   2   2 type=protein; loc=3L:complement(join(18675219..18675342,18674545..18674977,18674169..18674482,18674048..18674104,18673518..18673975)); ID=FBpp0074861; name=GNBP2-PB; parent=FBgn0040322,FBtr0075094; dbxref=FlyBase:FBpp0074861,FlyBase_Annotation_IDs:CG4144-PB,GB_protein:AAF49245.3,REFSEQ:NP_524141,GB_protein:AAF49245,FlyMine:FBpp0074861,modMine:FBpp0074861; MD5=9231d0142a81b0f318e6160b75656af6; length=461; release=r6.02; species=Dmel; 
FBpp0074862          -          BGBP                 -           4.4e-124  415.3   4.8   3.6e-96  323.4   0.8   2.0   1   1   1   2   2   2   2 type=protein; loc=3L:complement(join(18675219..18675255,18674545..18674977,18674169..18674482,18674048..18674104,18673518..18673975)); ID=FBpp0074862; name=GNBP2-PA; parent=FBgn0040322,FBtr0075095; dbxref=FlyBase:FBpp0074862,FlyBase_Annotation_IDs:CG4144-PA,GB_protein:AAF49246.3,REFSEQ:NP_730350,GB_protein:AAF49246,FlyMine:FBpp0074862,modMine:FBpp0074862; MD5=e42696af0dc959f8f75f5d51528ce8c5; length=432; release=r6.02; species=Dmel; 
FBpp0076237          -          BGBP                 -             3e-121  405.9   0.1  3.7e-121  405.7   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=3L:8955026..8956498; ID=FBpp0076237; name=GNBP3-PA; parent=FBgn0040321,FBtr0076510; dbxref=FlyBase:FBpp0076237,FlyBase_Annotation_IDs:CG5008-PA,GB_protein:AAF50349.1,REFSEQ:NP_523986,GB_protein:AAF50349,FlyMine:FBpp0076237,modMine:FBpp0076237; MD5=386e3996d07a683ad082fc70f9327ac2; length=490; release=r6.02; species=Dmel; 
FBpp0074863          -          BGBP                 -           6.5e-117  391.7   5.5   4.9e-89  299.9   1.1   2.0   1   1   1   2   2   2   2 type=protein; loc=3L:complement(join(18674545..18674948,18674169..18674482,18674048..18674104,18673518..18673975)); ID=FBpp0074863; name=GNBP2-PD; parent=FBgn0040322,FBtr0075096; dbxref=FlyBase:FBpp0074863,FlyBase_Annotation_IDs:CG4144-PD,GB_protein:AAN11665.1,REFSEQ:NP_730351,GB_protein:AAN11665,FlyMine:FBpp0074863,modMine:FBpp0074863; MD5=9329427ccb361720d0b6e16f5b859ad6; length=410; release=r6.02; species=Dmel; 
FBpp0085578          -          BGBP                 -            7.8e-14   52.3   0.0   8.8e-14   52.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:complement(20547229..20547603); ID=FBpp0085578; name=CG30148-PA; parent=FBgn0050148,FBtr0086266; dbxref=FlyBase:FBpp0085578,FlyBase_Annotation_IDs:CG30148-PA,GB_protein:AAM68387.1,REFSEQ:NP_665889,GB_protein:AAM68387,FlyMine:FBpp0085578,modMine:FBpp0085578; MD5=105f1afe9403ef004fb424956e4b91bb; length=124; release=r6.02; species=Dmel; 
FBpp0309587          -          BGBP                 -            7.8e-14   52.3   0.0   8.8e-14   52.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:complement(20547229..20547603); ID=FBpp0309587; name=CG30148-PB; parent=FBgn0050148,FBtr0342706; dbxref=GB_protein:AHN56429,REFSEQ:NP_001286634,FlyBase:FBpp0309587,FlyBase_Annotation_IDs:CG30148-PB; MD5=105f1afe9403ef004fb424956e4b91bb; length=124; release=r6.02; species=Dmel; 
FBpp0085532          -          BGBP                 -            2.1e-13   50.9   0.0   2.2e-13   50.8   0.0   1.1   1   0   0   1   1   1   1 type=protein; loc=2R:20526333..20526791; ID=FBpp0085532; name=GNBP-like3-PA; parent=FBgn0034511,FBtr0086214; dbxref=FlyBase:FBpp0085532,FlyBase_Annotation_IDs:CG13422-PA,GB_protein:AAF57465.1,REFSEQ:NP_611483,GB_protein:AAF57465,FlyMine:FBpp0085532,modMine:FBpp0085532; MD5=1150f3931415f1711194aabbf5bd83c8; length=152; release=r6.02; species=Dmel; 
FBpp0087815          -          BGBP                 -            3.6e-12   46.8   0.0   3.8e-12   46.7   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=2R:complement(8551951..8552253); ID=FBpp0087815; name=CG12780-PA; parent=FBgn0033301,FBtr0088736; dbxref=GB_protein:AAF59079.1,FlyBase:FBpp0087815,FlyBase_Annotation_IDs:CG12780-PA,REFSEQ:NP_610388,GB_protein:AAF59079,FlyMine:FBpp0087815,modMine:FBpp0087815; MD5=d578bb49a7892989fa420e4fa271c82e; length=100; release=r6.02; species=Dmel; 
FBpp0111363          -          BGBP                 -            1.3e-09   38.3   0.0   1.7e-08   34.6   0.0   1.9   1   1   1   2   2   2   1 type=protein; loc=3L:join(18680409..18680528,18680582..18680779); ID=FBpp0111363; name=CG34254-PA; parent=FBgn0085283,FBtr0112448; dbxref=FlyBase:FBpp0111363,FlyBase_Annotation_IDs:CG34254-PA,REFSEQ:NP_001097637,GB_protein:ABW08565,FlyMine:FBpp0111363,modMine:FBpp0111363; MD5=5ffaaf1448a3e5e851b80d41b27f3a7c; length=105; release=r6.02; species=Dmel; 
FBpp0075136          -          CLIPA                -           1.8e-124  415.3   0.1    2e-124  415.2   0.1   1.1   1   0   0   1   1   1   1 type=protein; loc=3L:join(16340444..16342216,16343794..16344092,16344158..16344761); ID=FBpp0075136; name=CG4998-PA; parent=FBgn0036612,FBtr0075377; dbxref=FlyBase:FBpp0075136,FlyBase_Annotation_IDs:CG4998-PA,GB_protein:AAF49484.2,REFSEQ:NP_648878,GB_protein:AAF49484,FlyMine:FBpp0075136,modMine:FBpp0075136; MD5=de5011dc050c945854e1d33525aaf975; length=891; release=r6.02; species=Dmel; 
FBpp0110166          -          CLIPA                -           1.3e-122  409.2   0.1  2.1e-122  408.5   0.1   1.3   1   0   0   1   1   1   1 type=protein; loc=3L:join(16340444..16342216,16342605..16343486,16343794..16344092,16344158..16344761); ID=FBpp0110166; name=CG4998-PB; parent=FBgn0036612,FBtr0110866; dbxref=FlyBase:FBpp0110166,FlyBase_Annotation_IDs:CG4998-PB,REFSEQ:NP_001036609,GB_protein:ABI31256,FlyMine:FBpp0110166,modMine:FBpp0110166; MD5=3cbc8467a09cdc771bd6efbba5b002b2; length=1185; release=r6.02; species=Dmel; 
FBpp0079653          -          CLIPA                -           1.8e-122  408.7   0.6    2e-122  408.6   0.6   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(join(10305149..10305505,10304827..10305082,10304162..10304769)); ID=FBpp0079653; name=CG5390-PA; parent=FBgn0032213,FBtr0080064; dbxref=GB_protein:AAF52904.1,FlyBase:FBpp0079653,FlyBase_Annotation_IDs:CG5390-PA,REFSEQ:NP_609374,GB_protein:AAF52904,FlyMine:FBpp0079653,modMine:FBpp0079653; MD5=9687f0a416dabe612aaf9094c33e8a50; length=406; release=r6.02; species=Dmel; 
FBpp0311172          -          CLIPA                -           1.8e-122  408.7   0.6    2e-122  408.6   0.6   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(join(10305149..10305505,10304827..10305082,10304162..10304769)); ID=FBpp0311172; name=CG5390-PB; parent=FBgn0032213,FBtr0344857; dbxref=FlyBase:FBpp0311172,FlyBase_Annotation_IDs:CG5390-PB,GB_protein:AHN54316,REFSEQ:NP_001285802; MD5=9687f0a416dabe612aaf9094c33e8a50; length=406; release=r6.02; species=Dmel; 
FBpp0080315          -          CLIPA                -           9.9e-107  357.1   0.2  1.4e-106  356.6   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=2L:join(15661046..15661273,15661504..15662670); ID=FBpp0080315; name=CG18477-PA; parent=FBgn0028864,FBtr0080756; dbxref=FlyBase:FBpp0080315,FlyBase_Annotation_IDs:CG18477-PA,GB_protein:AAG22433.1,REFSEQ:NP_609763,GB_protein:AAG22433; MD5=161978c1a6927ee14a4c60f86b0c1499; length=464; release=r6.02; species=Dmel; 
FBpp0080317          -          CLIPA                -           9.9e-107  357.1   0.2  1.4e-106  356.6   0.2   1.1   1   0   0   1   1   1   1 type=protein; loc=2L:join(15696043..15696270,15696501..15697667); ID=FBpp0080317; name=CG31780-PB; parent=FBgn0051780,FBtr0080758; dbxref=GB_protein:AAN10903.1,FlyBase:FBpp0080317,FlyBase_Annotation_IDs:CG31780-PB,FlyBase_Annotation_IDs:CG31780-PA,REFSEQ:NP_723920,GB_protein:AAN10903,FlyMine:FBpp0080317,modMine:FBpp0080317; MD5=161978c1a6927ee14a4c60f86b0c1499; length=464; release=r6.02; species=Dmel; 
FBpp0080557          -          CLIPA                -           1.2e-106  356.8   0.1  1.5e-106  356.5   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=2L:complement(join(17455726..17455896,17454338..17455651)); ID=FBpp0080557; name=SPH93-PA; parent=FBgn0032638,FBtr0081004; dbxref=FlyBase:FBpp0080557,FlyBase_Annotation_IDs:CG6639-PA,GB_protein:AAF53614.1,REFSEQ:NP_609840,GB_protein:AAF53614,FlyMine:FBpp0080557,modMine:FBpp0080557; MD5=f09cf07591db7b89cfeb7c1a53fdc9d1; length=494; release=r6.02; species=Dmel; 
FBpp0087784          -          CLIPA                -           1.8e-106  356.2   1.4  4.3e-105  351.7   1.4   2.0   1   1   0   1   1   1   1 type=protein; loc=2R:join(8696619..8697122,8697650..8698525); ID=FBpp0087784; name=CG8738-PA; parent=FBgn0033321,FBtr0088705; dbxref=FlyBase:FBpp0087784,FlyBase_Annotation_IDs:CG8738-PA,GB_protein:AAF59058.1,REFSEQ:NP_610403,GB_protein:AAF59058,FlyMine:FBpp0087784,modMine:FBpp0087784; MD5=6c2a0ee0e22b181136deafe9ca142c44; length=459; release=r6.02; species=Dmel; 
FBpp0081424          -          CLIPA                -           2.4e-104  349.2   0.1  2.7e-104  349.1   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=3R:complement(join(8772504..8772672,8772248..8772450,8771928..8772184,8771280..8771868)); ID=FBpp0081424; name=CG13318-PA; parent=FBgn0037627,FBtr0081942; dbxref=FlyBase:FBpp0081424,FlyBase_Annotation_IDs:CG13318-PA,GB_protein:AAF54286.2,REFSEQ:NP_649831,GB_protein:AAF54286,FlyMine:FBpp0081424,modMine:FBpp0081424; MD5=91f1603bede212058ac3aac5c1c07525; length=405; release=r6.02; species=Dmel; 
FBpp0112536          -          CLIPA                -           1.4e-103  346.7   0.2  1.9e-103  346.3   0.2   1.2   1   0   0   1   1   1   1 type=protein; loc=3L:26224649..26225914; ID=FBpp0112536; name=CG40160-PA; parent=FBgn0058160,FBtr0113813; dbxref=FlyBase_Annotation_IDs:CG40160-PA,FlyBase:FBpp0112536,REFSEQ:NP_001015212,GB_protein:EAA46220,FlyMine:FBpp0112536,modMine:FBpp0112536; MD5=c66b1b6090128fdceebcfac48be46d55; length=421; release=r6.02; species=Dmel; 
FBpp0291011          -          CLIPA                -           1.4e-103  346.7   0.2  1.9e-103  346.3   0.2   1.2   1   0   0   1   1   1   1 type=protein; loc=3L:26224649..26225914; ID=FBpp0291011; name=CG40160-PD; parent=FBgn0058160,FBtr0301797; dbxref=REFSEQ:NP_001015213,GB_protein:EAA46221,FlyBase:FBpp0291011,FlyBase_Annotation_IDs:CG40160-PD; MD5=c66b1b6090128fdceebcfac48be46d55; length=421; release=r6.02; species=Dmel; 
FBpp0291016          -          CLIPA                -           1.4e-103  346.7   0.2  1.9e-103  346.3   0.2   1.2   1   0   0   1   1   1   1 type=protein; loc=3L:26224649..26225914; ID=FBpp0291016; name=CG40160-PE; parent=FBgn0058160,FBtr0301802; dbxref=REFSEQ:NP_001163855,GB_protein:EFA98702,FlyBase:FBpp0291016,FlyBase_Annotation_IDs:CG40160-PE; MD5=c66b1b6090128fdceebcfac48be46d55; length=421; release=r6.02; species=Dmel; 
FBpp0291017          -          CLIPA                -           1.4e-103  346.7   0.2  1.9e-103  346.3   0.2   1.2   1   0   0   1   1   1   1 type=protein; loc=3L:26224649..26225914; ID=FBpp0291017; name=CG40160-PF; parent=FBgn0058160,FBtr0301803; dbxref=REFSEQ:NP_001015214,GB_protein:EAA46222,FlyBase:FBpp0291017,FlyBase_Annotation_IDs:CG40160-PF; MD5=c66b1b6090128fdceebcfac48be46d55; length=421; release=r6.02; species=Dmel; 
FBpp0291018          -          CLIPA                -           1.4e-103  346.7   0.2  1.9e-103  346.3   0.2   1.2   1   0   0   1   1   1   1 type=protein; loc=3L:26224649..26225914; ID=FBpp0291018; name=CG40160-PG; parent=FBgn0058160,FBtr0301804; dbxref=REFSEQ:NP_001163856,GB_protein:EFA98703,FlyBase:FBpp0291018,FlyBase_Annotation_IDs:CG40160-PG; MD5=c66b1b6090128fdceebcfac48be46d55; length=421; release=r6.02; species=Dmel; 
