id	class	strata	Muscidae	Calyptratae	Schizophora	Cyclorrhapha	Diptera	Endopterygota	Insecta	Arthropoda	Ecdysozoa	Protostomia	Bilateria	Metazoa	Opisthokont
XP_005182803.1	known	Metazoa	1	1	8	0	5	17	2	5	3	5	11	4	0
XP_005175685.1	known	Opisthokont	1	1	9	1	5	16	3	5	8	2	11	4	2
XP_005181362.1	known	Metazoa	1	1	9	0	5	16	3	2	4	2	11	2	0
XP_005188860.1	known	Metazoa	1	1	9	0	4	16	3	4	0	3	10	2	0
XP_005180230.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	2
XP_005186813.1	known	Diptera	1	0	9	1	5	0	0	0	0	0	0	0	0
XP_005191875.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005177737.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	1
XP_005181368.1	known	Bilateria	1	1	2	0	0	0	0	0	0	0	1	0	0
XP_005184863.1	known	Muscidae	1	0	0	0	0	0	0	0	0	0	0	0	0
XP_005182539.1	known	Opisthokont	1	1	9	0	4	14	3	5	8	4	8	4	4
XP_005176466.1	known	Arthropoda	1	1	9	0	5	7	1	1	0	0	0	0	0
XP_005188428.1	known	Metazoa	1	1	9	1	3	17	3	5	10	5	11	4	0
XP_005180495.1	known	Metazoa	1	1	9	1	5	12	3	5	9	4	11	2	0
XP_005178335.1	known	Opisthokont	1	1	9	1	5	17	3	4	8	4	11	4	2
XP_005188485.1	known	Metazoa	1	1	9	1	5	16	3	5	9	4	11	3	0
XP_005175878.1	known	Metazoa	1	1	9	1	5	17	3	5	10	5	11	2	0
XP_005189066.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	4	10	2	2
XP_005187197.1	known	Protostomia	1	1	9	0	2	4	0	0	0	1	0	0	0
XP_005175550.1	known	Opisthokont	1	0	9	0	5	15	3	3	10	5	11	4	4
XP_005190463.1	known	Opisthokont	1	1	9	1	5	17	3	5	10	5	11	4	4
XP_005190854.1	known	Endopterygota	1	1	9	1	3	5	0	0	0	0	0	0	0
XP_005182736.1	known	Schizophora	1	0	7	0	0	0	0	0	0	0	0	0	0
XP_005190330.1	known	Bilateria	1	1	9	0	5	1	0	1	0	0	1	0	0
XP_005192124.1	known	Opisthokont	1	1	8	0	5	17	2	3	1	4	8	4	2
XP_005178065.1	known	Muscidae	1	0	0	0	0	0	0	0	0	0	0	0	0
XP_005187845.1	known	Metazoa	1	1	9	0	4	7	3	0	0	3	4	2	0
XP_005175409.1	known	Metazoa	1	1	9	1	5	17	3	5	8	4	11	2	0
XP_005177826.1	known	Opisthokont	1	1	9	0	3	11	2	4	10	3	3	1	2
XP_005178560.1	known	Opisthokont	1	1	9	0	5	14	3	5	8	4	11	2	3
XP_005178506.1	known	Metazoa	1	1	9	0	3	12	2	2	0	3	6	1	0
