mdom	type	dmel
LOC101887197_XP_005174938.1	n:1	FBgn0260934_FBpp0303278
LOC101887198_XP_005175175.1	n:1	FBgn0051183_FBpp0082641
LOC101887199_XP_005175490.1	n:n	FBgn0259185_FBpp0288947,FBgn0259187_FBpp0291494
LOC101887200_XP_005175568.1	n:1	FBgn0034599_FBpp0071502
LOC101887201_XP_005175702.1	n:1	FBgn0260741_FBpp0081985
LOC101887202_XP_005175830.1	n:1	FBgn0030594_FBpp0310035
LOC101887204_XP_005176347.1	1:1	FBgn0027106_FBpp0070994
LOC101887205_XP_005176437.1	1:1	FBgn0040765_FBpp0087305
LOC101887206_XP_005176528.1	1:1	FBgn0034400_FBpp0303087
LOC101887207_XP_005176876.1	1:1	FBgn0034735_FBpp0071745
LOC101887208_XP_005176966.1	1:1	FBgn0046876_FBpp0078267
LOC101887209_XP_005177520.1	1:1	FBgn0052029_FBpp0076294
LOC101887210_XP_005177690.1	1:1	FBgn0020655_FBpp0075713
LOC101887211_XP_005177775.1	1:1	FBgn0027550_FBpp0079703
LOC101887212_XP_005178111.1	1:1	FBgn0037712_FBpp0081549
LOC101887215_XP_005178460.1	1:1	FBgn0022238_FBpp0293794
LOC101887216_XP_005178905.1	n:1	FBgn0002564_FBpp0072365
LOC101887217_XP_005179254.1	1:1	FBgn0036790_FBpp0088997
LOC101887219_XP_005179868.1	1:1	FBgn0085426_FBpp0309683
LOC101887220_XP_005179955.1	n:n	FBgn0039613_FBpp0084699,FBgn0027578_FBpp0307566
LOC101887221_XP_005180127.1	1:1	FBgn0037105_FBpp0078120
LOC101887222_XP_005180479.1	1:1	FBgn0030435_FBpp0310242
LOC101887223_XP_005181614.1	n:n	FBgn0032491_FBpp0271956,FBgn0032490_FBpp0306794
LOC101887224_XP_005181875.1	n:1	FBgn0033593_FBpp0087287
LOC101887225_XP_005182146.1	n:1	FBgn0053514_FBpp0073145
LOC101887226_XP_005182218.1	1:1	FBgn0033121_FBpp0085516
LOC101887227_XP_005182827.1	1:1	FBgn0001105_FBpp0312372
LOC101887228_XP_005183005.1	n:n	FBgn0034884_FBpp0297290,FBgn0034883_FBpp0307864
LOC101887229_XP_005183095.1	1:1	FBgn0000392_FBpp0288761
LOC101887230_XP_005184105.1	1:1	FBgn0030456_FBpp0073557
LOC101887231_XP_005184375.1	1:1	FBgn0037490_FBpp0081095
LOC101887233_XP_005185286.1	1:1	FBgn0050418_FBpp0072170
LOC101887234_XP_005185705.1	1:1	FBgn0039257_FBpp0296947
LOC101887235_XP_005185860.1	1:1	FBgn0039636_FBpp0084739
LOC101887236_XP_005185931.1	1:1	FBgn0037492_FBpp0081096
LOC101887237_XP_005186107.1	1:1	FBgn0038629_FBpp0083059
LOC101887238_XP_005186273.1	1:n	FBgn0083942_FBpp0309833,FBgn0085198_FBpp0111275,FBgn0035069_FBpp0311730
LOC101887239_XP_005187100.1	1:1	FBgn0033850_FBpp0086793
LOC101887240_XP_005187520.1	n:1	FBgn0038795_FBpp0083302
LOC101887242_XP_005187860.1	1:1	FBgn0262732_FBpp0303170
LOC101887243_XP_005188036.1	1:n	FBgn0053341_FBpp0083997,FBgn0039194_FBpp0083998
LOC101887244_XP_005188391.1	1:1	FBgn0025519_FBpp0086329
LOC101887245_XP_005188742.1	1:1	FBgn0024996_FBpp0070457
LOC101887246_XP_005188988.1	n:1	FBgn0002522_FBpp0081194
LOC101887249_XP_005189945.1	n:1	FBgn0045495_FBpp0089145
LOC101887251_XP_005190118.1	1:1	FBgn0028573_FBpp0075796
LOC101887253_XP_005190339.1	1:1	FBgn0036126_FBpp0075963
LOC101887254_XP_005190497.1	1:1	FBgn0033380_FBpp0087649
LOC101887255_XP_005190913.1	1:1	FBgn0020440_FBpp0113097
