#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
FBpp0126826          -          BGBP                 -           2.1e-124  415.3   0.0  2.6e-124  415.1   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(18749699..18749896,18749974..18751136,18751283..18751400); ID=FBpp0126826; name=Dana\GF23634-PA; parent=FBgn0100628,FBtr0128334; dbxref=FlyBase:FBpp0126826,FlyBase_Annotation_IDs:GF23634-PA,GB_protein:EDV41021,REFSEQ:XP_001958215,FlyMine:FBpp0126826; MD5=a3c029eee1d316ddb0f028be43ed3a92; length=492; release=r1.3; species=Dana; 
FBpp0114003          -          BGBP                 -             5e-120  400.9   1.7     1e-91  307.7   0.1   2.0   1   1   1   2   2   2   2 type=protein; loc=scaffold_13337:join(18752024..18752162,18752296..18753042,18753100..18753156,18753228..18753685); ID=FBpp0114003; name=Dana\GF10811-PA; parent=FBgn0087851,FBtr0115511; dbxref=FlyBase:FBpp0114003,FlyBase_Annotation_IDs:GF10811-PA,GB_protein:EDV41022,REFSEQ:XP_001958216,FlyMine:FBpp0114003; MD5=84b9d32264181e1055fccb0d67295c02; length=466; release=r1.3; species=Dana; 
FBpp0127556          -          BGBP                 -           7.1e-116  387.3   0.1  8.6e-116  387.0   0.1   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(7701059..7702537); ID=FBpp0127556; name=Dana\GF24364-PA; parent=FBgn0101358,FBtr0129064; dbxref=FlyBase:FBpp0127556,FlyBase_Annotation_IDs:GF24364-PA,GB_protein:EDV39663,REFSEQ:XP_001956857,FlyMine:FBpp0127556; MD5=8726722bcb2e26d903ed4a9def6086dd; length=492; release=r1.3; species=Dana; 
FBpp0115856          -          BGBP                 -              5e-14   51.9   0.0   5.4e-14   51.8   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:2846760..2847131; ID=FBpp0115856; name=Dana\GF12664-PA; parent=FBgn0089700,FBtr0117364; dbxref=FlyBase:FBpp0115856,FlyBase_Annotation_IDs:GF12664-PA,GB_protein:EDV35829,REFSEQ:XP_001959007,FlyMine:FBpp0115856; MD5=df52dc572f95097d2de7c53247cb3713; length=123; release=r1.3; species=Dana; 
FBpp0115461          -          BGBP                 -            7.5e-13   48.0   0.0   7.7e-13   48.0   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(2866426..2866872); ID=FBpp0115461; name=Dana\GF12269-PA; parent=FBgn0089306,FBtr0116969; dbxref=FlyBase:FBpp0115461,FlyBase_Annotation_IDs:GF12269-PA,GB_protein:EDV35835,REFSEQ:XP_001959013,FlyMine:FBpp0115461; MD5=7a3195c3cb62e7592d1c8d1f2ef5540c; length=148; release=r1.3; species=Dana; 
FBpp0122998          -          BGBP                 -            1.2e-10   40.8   0.0   1.3e-10   40.7   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13266:1566493..1566801; ID=FBpp0122998; name=Dana\GF19806-PA; parent=FBgn0096813,FBtr0124506; dbxref=FlyBase:FBpp0122998,FlyBase_Annotation_IDs:GF19806-PA,GB_protein:EDV35652,REFSEQ:XP_001958830,FlyMine:FBpp0122998; MD5=09daa1eb22e24027a814cb919313a579; length=102; release=r1.3; species=Dana; 
FBpp0127381          -          CLIPA                -           5.1e-123  409.5   0.1    8e-123  408.9   0.1   1.3   1   0   0   1   1   1   1 type=protein; loc=scaffold_13337:complement(10286728..10287331,10287391..10287689,10287785..10288639,10289041..10290792); ID=FBpp0127381; name=Dana\GF24189-PA; parent=FBgn0101183,FBtr0128889; dbxref=FlyBase:FBpp0127381,FlyBase_Annotation_IDs:GF24189-PA,GB_protein:EDV39981,REFSEQ:XP_001957175,FlyMine:FBpp0127381; MD5=80fb6a29aecf9788dd6c311f5be709ac; length=1169; release=r1.3; species=Dana; 
FBpp0117308          -          CLIPA                -           8.8e-111  369.4   1.5  1.1e-110  369.0   1.5   1.1   1   0   0   1   1   1   1 type=protein; loc=scaffold_12916:complement(14133415..14133501,14137244..14137749,14137812..14138070,14138133..14138483); ID=FBpp0117308; name=Dana\GF14116-PA; parent=FBgn0091143,FBtr0118816; dbxref=FlyBase:FBpp0117308,FlyBase_Annotation_IDs:GF14116-PA,GB_protein:EDV32304,REFSEQ:XP_001963083,FlyMine:FBpp0117308; MD5=6e1b97e1790ee4dee13684ad54f657c7; length=400; release=r1.3; species=Dana; 
FBpp0115568          -          CLIPA                -           7.3e-106  353.2   0.1  1.7e-104  348.8   0.1   2.0   1   1   0   1   1   1   1 type=protein; loc=scaffold_13266:complement(1428202..1429068,1429140..1429646); ID=FBpp0115568; name=Dana\GF12376-PA; parent=FBgn0089413,FBtr0117076; dbxref=FlyBase:FBpp0115568,FlyBase_Annotation_IDs:GF12376-PA,GB_protein:EDV35629,REFSEQ:XP_001958807,FlyMine:FBpp0115568; MD5=7d654bbccb98c07f1070bdd7edad6011; length=457; release=r1.3; species=Dana; 
FBpp0120028          -          CLIPA                -           3.4e-104  347.7   0.0  3.7e-104  347.6   0.0   1.0   1   0   0   1   1   1   1 type=protein; loc=scaffold_13340:complement(11006096..11006684,11006735..11006991,11007095..11007300,11007360..11007510); ID=FBpp0120028; name=Dana\GF16836-PA; parent=FBgn0093857,FBtr0121536; dbxref=FlyBase:FBpp0120028,FlyBase_Annotation_IDs:GF16836-PA,GB_protein:EDV42824,REFSEQ:XP_001954263,FlyMine:FBpp0120028; MD5=21c64987990301b7d12d43fe170ca00c; length=400; release=r1.3; species=Dana; 
FBpp0115762          -          CLIPA                -           8.4e-103  343.2   1.3  8.2e-102  339.9   1.3   1.9   1   1   0   1   1   1   1 type=protein; loc=scaffold_13266:join(1430651..1431118,1431183..1432061); ID=FBpp0115762; name=Dana\GF12570-PA; parent=FBgn0089607,FBtr0117270; dbxref=FlyBase:FBpp0115762,FlyBase_Annotation_IDs:GF12570-PA,GB_protein:EDV35630,REFSEQ:XP_001958808,FlyMine:FBpp0115762; MD5=2c00c7b0efeff49976827abb353e90cc; length=448; release=r1.3; species=Dana; 
