ogs	desc	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
10005	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10007	none	1	1	1	1	1	1	1	1	1	2	1	0	1	1
1001.1	none	0	1	0	0	0	0	0	0	0	1	1	1	0	0
1001.2	none	2	0	2	2	2	2	2	2	2	1	1	0	2	1
10011	none	2	0	1	1	1	1	1	1	1	1	1	1	2	0
10014	none	1	1	1	1	2	1	1	1	1	1	1	1	1	1
10016	none	1	0	1	1	1	1	0	0	0	1	1	1	1	1
10018	none	1	0	1	1	1	1	2	2	1	5	4	2	6	3
10022.1	none	3	3	1	1	1	2	1	1	1	1	1	2	1	1
10032.2	none	1	2	1	1	1	2	1	1	1	1	0	2	1	1
10039	none	1	1	1	1	1	1	1	1	1	1	2	2	1	2
10043	none	1	2	1	1	1	1	1	1	1	1	0	1	1	2
10048	none	1	1	1	1	0	2	1	1	1	1	1	3	1	1
10060	none	0	1	0	0	0	0	0	0	0	1	0	0	0	0
10066	none	1	1	1	1	1	1	1	1	1	1	0	0	0	1
10071	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10075	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10078	none	1	1	1	1	6	1	1	1	1	1	1	1	1	1
10079	none	1	1	1	2	1	1	1	1	1	1	1	1	2	1
10086	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10090.2	none	0	0	0	0	0	1	1	1	1	1	2	1	2	3
10093	none	1	1	1	1	2	2	1	2	2	1	1	1	0	1
10095	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10100	none	0	0	0	2	0	0	0	1	0	0	0	0	0	7
10101	none	2	1	1	1	1	1	1	1	1	1	1	1	1	2
10117	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10120.1	none	1	1	1	1	2	1	1	1	2	2	2	2	2	2
10120.2	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10121	none	1	1	1	1	2	1	1	1	1	1	1	1	2	1
10139	none	1	1	1	1	1	1	1	1	1	1	1	1	2	2
10143.1.1	none	1	1	1	1	1	1	1	1	1	3	3	3	3	4
10143.2	none	2	2	2	2	2	2	2	2	2	1	1	1	1	1
10149	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10154	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10155	none	1	1	1	1	1	0	1	1	1	1	0	1	1	1
10156	none	0	0	0	0	0	0	2	0	0	0	1	1	0	0
10170.1.1	none	1	0	0	0	0	0	1	0	0	0	0	13	2	0
10170.1.2.1.1	none	0	0	0	1	1	0	0	0	1	0	1	3	0	0
10170.1.2.1.2.1	none	1	1	0	1	0	0	0	0	0	0	0	0	0	1
10170.2	none	1	1	0	1	1	0	0	0	0	0	0	3	1	0
10171	none	2	1	2	2	2	2	2	2	2	1	1	1	2	1
10180	none	1	0	2	2	1	1	2	2	2	1	1	1	1	1
10189	none	1	0	1	1	1	1	1	1	1	1	1	1	1	1
1019	none	1	1	1	1	1	0	1	1	1	1	1	1	1	1
10192	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10200	none	1	1	1	1	1	1	1	1	1	1	0	1	1	2
10202	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10204	none	2	1	1	1	1	1	1	1	1	1	1	1	1	2
10205	none	1	0	1	1	1	1	1	1	1	1	1	1	1	3
10210	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10217	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10218	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10222	none	1	0	1	1	1	1	1	1	1	1	1	1	1	1
10223	none	0	1	0	0	0	0	0	0	0	1	1	1	1	1
10225	none	1	0	1	1	1	1	1	1	1	1	0	1	2	1
10227	none	1	3	1	1	1	1	1	1	1	1	2	2	1	4
10235	none	1	1	1	1	1	1	1	1	1	2	1	2	1	1
10236	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10237	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10240	none	3	3	3	3	3	3	3	3	3	1	1	1	1	1
10241	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10243	none	1	2	2	2	2	2	2	2	2	1	1	1	1	1
10244	none	0	1	0	0	0	0	0	0	0	0	1	1	0	1
10251	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10256	none	1	1	1	1	1	1	1	1	1	0	1	0	0	0
10261	none	2	1	1	1	1	1	1	1	1	1	1	1	1	1
10264	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10266	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10268	none	1	1	1	1	1	1	1	1	1	2	1	1	2	1
10274	none	1	0	0	0	0	0	0	0	0	0	1	0	2	1
10276	none	5	0	2	2	3	2	2	2	2	6	5	2	10	7
10282	none	1	0	1	1	1	1	1	1	1	1	1	1	2	2
10292	none	1	1	1	1	1	1	1	1	1	1	1	0	1	0
10294	none	1	1	1	1	1	1	1	1	1	1	1	1	3	1
10299.1	none	1	1	1	1	1	1	1	1	1	0	0	0	1	1
10299.2	none	1	1	0	0	0	0	2	1	1	1	1	1	1	1
10300	none	0	1	0	0	0	0	0	1	0	0	0	1	1	1
10302	none	1	0	2	2	1	0	1	1	1	2	1	1	2	1
10311	none	1	3	1	1	1	1	1	1	1	1	1	1	1	1
10313	none	1	1	1	2	1	1	1	1	1	1	1	0	1	2
10315	none	1	2	1	1	1	1	1	1	1	0	1	1	2	1
10317	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10326	none	1	1	2	2	2	2	3	2	4	1	1	1	1	1
10327	none	2	0	1	1	1	1	1	1	1	1	0	1	1	2
10330	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10332	none	1	1	1	1	1	1	1	1	1	3	3	1	2	3
10333	none	1	0	2	2	2	1	1	1	1	1	0	0	2	1
10337	none	1	1	1	1	1	1	1	1	1	2	1	2	1	6
1034	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10340	none	1	2	1	1	1	1	1	1	1	1	0	1	1	1
10341.2	none	1	1	1	0	0	0	0	0	0	1	1	1	2	4
10348	none	1	1	1	1	1	1	2	1	1	2	1	4	0	1
10351	none	1	0	0	0	0	0	0	0	0	0	0	1	1	1
10352	none	1	1	1	1	1	1	2	1	1	1	0	0	1	1
10356	none	0	0	0	0	0	0	0	1	1	0	0	0	0	1
