ogs	desc	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
10007	none	1	1	1	1	1	1	1	1	1	2	1	0	1	1
10014	none	1	1	1	1	2	1	1	1	1	1	1	1	1	1
10018	none	1	0	1	1	1	1	2	2	1	5	4	2	6	3
10022.1	none	3	3	1	1	1	2	1	1	1	1	1	2	1	1
10022.2	none	1	1	1	1	1	1	1	1	1	1	1	2	1	1
10032.2	none	1	2	1	1	1	2	1	1	1	1	0	2	1	1
10039	none	1	1	1	1	1	1	1	1	1	1	2	2	1	2
10043	none	1	2	1	1	1	1	1	1	1	1	0	1	1	2
10048	none	1	1	1	1	0	2	1	1	1	1	1	3	1	1
10057	none	2	1	1	0	1	1	2	1	1	1	1	1	0	1
10066	none	1	1	1	1	1	1	1	1	1	1	0	0	0	1
10068	none	1	1	1	1	2	1	2	1	1	1	1	1	1	1
10069	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10078	none	1	1	1	1	6	1	1	1	1	1	1	1	1	1
10079	none	1	1	1	2	1	1	1	1	1	1	1	1	2	1
10090.1	none	1	1	1	2	2	1	1	1	1	0	0	1	0	1
10093	none	1	1	1	1	2	2	1	2	2	1	1	1	0	1
10101	none	2	1	1	1	1	1	1	1	1	1	1	1	1	2
10109	none	1	1	1	1	2	2	2	1	2	1	1	1	0	2
10120.1	none	1	1	1	1	2	1	1	1	2	2	2	2	2	2
10121	none	1	1	1	1	2	1	1	1	1	1	1	1	2	1
10139	none	1	1	1	1	1	1	1	1	1	1	1	1	2	2
10143.1.1	none	1	1	1	1	1	1	1	1	1	3	3	3	3	4
10143.1.2	none	1	1	1	1	1	1	1	1	1	1	0	1	1	2
10143.2	none	2	2	2	2	2	2	2	2	2	1	1	1	1	1
10152	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10155	none	1	1	1	1	1	0	1	1	1	1	0	1	1	1
10168	none	1	1	1	1	1	1	1	1	1	1	1	1	1	0
10171	none	2	1	2	2	2	2	2	2	2	1	1	1	2	1
10173	none	1	1	1	1	1	1	1	2	1	1	1	1	1	2
1019	none	1	1	1	1	1	0	1	1	1	1	1	1	1	1
10200	none	1	1	1	1	1	1	1	1	1	1	0	1	1	2
10204	none	2	1	1	1	1	1	1	1	1	1	1	1	1	2
10221	none	1	1	1	2	1	1	1	1	1	1	1	1	1	0
10227	none	1	3	1	1	1	1	1	1	1	1	2	2	1	4
10235	none	1	1	1	1	1	1	1	1	1	2	1	2	1	1
10240	none	3	3	3	3	3	3	3	3	3	1	1	1	1	1
10241	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10243	none	1	2	2	2	2	2	2	2	2	1	1	1	1	1
10261	none	2	1	1	1	1	1	1	1	1	1	1	1	1	1
10264	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10268	none	1	1	1	1	1	1	1	1	1	2	1	1	2	1
10271	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10279	none	1	2	1	1	0	1	1	1	1	1	1	1	1	3
10287	none	1	1	1	1	1	1	1	1	1	1	1	0	1	1
10292	none	1	1	1	1	1	1	1	1	1	1	1	0	1	0
10294	none	1	1	1	1	1	1	1	1	1	1	1	1	3	1
10299.2	none	1	1	0	0	0	0	2	1	1	1	1	1	1	1
10305	none	1	1	1	1	1	1	1	1	1	1	1	1	4	4
10311	none	1	3	1	1	1	1	1	1	1	1	1	1	1	1
10313	none	1	1	1	2	1	1	1	1	1	1	1	0	1	2
10315	none	1	2	1	1	1	1	1	1	1	0	1	1	2	1
10326	none	1	1	2	2	2	2	3	2	4	1	1	1	1	1
10330	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10332	none	1	1	1	1	1	1	1	1	1	3	3	1	2	3
10337	none	1	1	1	1	1	1	1	1	1	2	1	2	1	6
1034	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10340	none	1	2	1	1	1	1	1	1	1	1	0	1	1	1
10348	none	1	1	1	1	1	1	2	1	1	2	1	4	0	1
10352	none	1	1	1	1	1	1	2	1	1	1	0	0	1	1
10357	none	1	1	1	2	1	1	1	1	1	2	1	1	1	1
1036	none	2	3	2	2	2	2	2	2	2	1	1	1	1	1
10365	none	1	2	1	1	1	1	1	1	1	1	0	1	1	1
10380	none	1	1	1	1	1	1	0	1	1	1	1	1	1	1
10384.2.1.1.1	none	9	3	9	13	8	15	4	6	21	10	4	8	14	27
10384.2.1.1.2.1.1.1.1.1	none	1	1	1	1	1	1	2	1	1	1	1	1	2	1
10384.2.1.1.2.1.1.1.1.2	none	1	2	1	1	1	1	1	1	1	5	3	3	7	8
10390	none	2	1	1	1	1	1	1	1	1	1	1	1	1	1
10392	none	1	1	1	1	1	1	1	1	1	1	0	1	1	5
10401.1	none	1	1	1	1	1	1	1	1	1	1	1	2	1	1
10401.2	none	1	1	1	1	1	1	1	1	2	1	1	1	2	1
1042	none	1	1	1	2	1	1	1	1	1	1	1	1	1	1
10426	none	1	1	0	1	1	1	1	1	1	0	1	0	1	1
1043	none	1	2	1	1	1	1	3	1	1	1	1	1	1	5
10433	none	1	1	1	1	1	1	1	1	1	1	1	1	2	0
10441	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10450	none	1	2	1	2	1	1	1	1	1	1	1	1	1	1
10452	none	1	2	1	1	1	2	1	1	1	1	1	1	1	4
10456	none	1	1	1	1	1	1	1	2	1	1	1	1	1	1
10460	none	1	4	1	1	1	1	1	1	1	1	1	1	0	1
10466	none	1	2	1	1	1	1	1	1	1	1	2	0	2	1
10468	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
1047	none	1	1	1	1	1	1	2	1	1	1	1	1	2	2
10471	none	1	1	1	1	1	1	1	1	1	1	0	1	1	1
10472	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10480	none	1	1	1	1	1	1	1	1	1	1	1	1	2	1
10481	none	1	1	1	1	1	1	1	1	1	1	1	1	1	8
10483	none	1	1	1	1	1	1	1	1	1	1	0	1	1	1
10484	none	1	2	1	1	1	1	1	1	1	1	1	1	2	1
10488	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10496	none	1	1	1	1	1	1	1	1	1	1	1	1	2	1
10498	none	2	1	1	1	1	1	1	1	1	1	1	1	1	1
10500	none	1	1	1	1	1	1	1	1	1	1	1	1	2	1
10504	none	1	1	1	1	2	1	2	2	1	1	1	1	2	2
10508	none	1	1	1	2	1	1	1	1	1	1	1	1	1	1
10519	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10526	none	1	1	1	2	1	1	1	1	1	1	1	1	2	1
10534	none	1	1	1	1	1	1	1	1	1	2	1	1	2	1
10558.2	none	1	1	1	1	1	1	1	1	1	1	0	1	1	2
10560	none	2	1	1	1	1	1	1	1	1	1	2	2	1	2
10567	none	1	1	1	1	1	1	1	2	1	1	1	1	1	1
1057	none	1	1	1	1	1	1	1	1	1	1	1	0	1	1
10571	none	1	1	1	1	2	1	1	1	1	1	1	1	1	1
10578	none	1	4	1	1	1	1	1	1	1	2	1	1	1	1
10583	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10586	none	1	1	1	1	1	1	1	1	1	1	1	1	1	0
1059	none	2	1	1	1	1	1	1	1	1	1	1	1	1	1
10591	none	2	1	1	1	1	1	1	1	1	1	1	1	1	1
106	none	1	1	1	1	1	1	1	1	1	1	1	1	2	1
10604	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10607	none	1	1	1	1	2	1	1	1	1	1	1	1	1	1
10610	none	1	1	1	1	1	1	2	1	1	2	1	1	1	2
10611	none	1	1	1	1	1	1	1	2	2	1	1	1	1	2
10615	none	11	5	3	3	3	3	3	4	3	4	4	5	10	24
10622	none	1	1	1	1	1	1	1	1	1	1	1	1	2	2
10629	none	1	1	1	1	1	1	1	1	1	1	1	1	2	0
10630	none	1	1	1	1	1	1	1	1	1	1	0	1	1	1
10635	none	1	1	1	1	1	1	1	1	1	1	1	1	2	0
10643	none	3	1	1	1	1	1	1	2	2	1	1	1	1	1
10654	none	1	1	1	1	1	1	1	1	1	1	1	1	2	5
10656	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10670	none	1	1	1	1	1	1	2	1	1	1	1	1	1	1
10688.2	none	1	1	1	1	1	1	1	1	1	1	1	1	1	3
1069	none	1	1	1	1	1	1	1	1	1	1	0	0	1	2
10703	none	1	1	1	1	1	1	1	1	1	1	0	1	1	1
